epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,fool_loss,time
0,8.894611,8.887960,0.573000,0.000000,771.500000,8.887959,04:53
1,8.560321,8.609086,0.645000,0.001000,469.500000,8.609087,04:33
2,7.993186,8.063255,0.770000,0.000000,398.250000,8.063254,04:48
3,7.954655,8.034769,0.772000,0.000000,275.750000,8.034766,04:46
4,7.928823,8.036970,0.771000,0.001000,269.250000,8.036969,04:45
5,7.916439,7.985957,0.765000,0.002000,266.750000,7.985956,04:49
6,7.892076,7.958603,0.781000,0.003000,255.500000,7.958604,04:48
7,7.841621,7.938444,0.782000,0.002000,260.500000,7.938445,04:46
8,7.800542,7.976393,0.776000,0.000000,292.000000,7.976393,04:45
9,7.873279,7.931120,0.778000,0.000000,347.250000,7.931119,04:42
10,7.876567,7.948938,0.794000,0.000000,341.250000,7.948939,04:36
11,7.812111,7.926092,0.785000,0.000000,294.000000,7.926091,04:40
12,7.792980,7.859052,0.774000,0.001000,367.000000,7.859051,04:38
13,7.774568,7.844949,0.776000,0.003000,325.750000,7.844949,04:43
14,7.775151,7.880069,0.783000,0.002000,395.250000,7.880070,04:37
15,7.764797,7.743018,0.775000,0.005000,375.250000,7.743018,04:26
16,7.701302,7.791835,0.773000,0.002000,406.000000,7.791834,04:25
17,7.743188,7.745324,0.785000,0.005000,340.500000,7.745325,04:26
18,7.652346,7.742134,0.761000,0.005000,376.750000,7.742134,04:26
19,7.619164,7.764850,0.782000,0.000000,358.000000,7.764850,04:27
20,7.623956,7.744939,0.761000,0.002000,406.250000,7.744938,04:26
21,7.667051,7.685503,0.780000,0.004000,408.250000,7.685503,04:29
22,7.646511,7.689993,0.771000,0.002000,397.250000,7.689993,04:43
23,7.663945,7.749860,0.782000,0.003000,421.750000,7.749860,04:53
24,7.593567,7.708641,0.778000,0.004000,421.750000,7.708640,04:51
25,7.560559,7.712855,0.776000,0.001000,402.750000,7.712853,04:52
26,7.551232,7.634838,0.780000,0.005000,397.750000,7.634837,04:53
27,7.534468,7.691191,0.776000,0.002000,414.750000,7.691193,04:51
28,7.485039,7.687804,0.775000,0.004000,376.000000,7.687804,04:35
29,7.583018,7.648526,0.776000,0.005000,434.500000,7.648527,04:27
