epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,0.705716,0.753670,0.809000,357.750000,0.235507,0.518163,04:41
1,0.666452,0.760918,0.780000,309.000000,0.270812,0.490106,04:41
2,0.650546,0.723269,0.820000,391.000000,0.218169,0.505099,04:41
3,0.648134,0.688161,0.809000,224.250000,0.221385,0.466775,04:37
4,0.684077,0.722867,0.804000,339.500000,0.233773,0.489093,04:36
5,0.664140,0.703320,0.810000,317.750000,0.220704,0.482616,04:37
6,0.633472,0.697866,0.798000,264.750000,0.224260,0.473606,04:35
7,0.642592,0.712896,0.791000,327.000000,0.244830,0.468066,04:34
8,0.625112,0.718584,0.803000,342.000000,0.234378,0.484206,04:37
9,0.614148,0.704693,0.806000,279.500000,0.238549,0.466144,04:37
10,0.638124,0.711944,0.806000,298.750000,0.236070,0.475874,04:37
11,0.628505,0.715201,0.815000,299.500000,0.216887,0.498315,04:35
12,0.642020,0.729286,0.774000,292.500000,0.274949,0.454338,04:41
13,0.613543,0.715692,0.813000,319.500000,0.241201,0.474491,04:40
14,0.620399,0.714830,0.822000,351.250000,0.223846,0.490983,04:43
15,0.616838,0.728593,0.804000,277.250000,0.249284,0.479309,04:43
16,0.613187,0.691938,0.816000,313.750000,0.218470,0.473469,04:44
17,0.581979,0.728793,0.798000,289.750000,0.255947,0.472846,04:44
18,0.578463,0.685483,0.835000,318.750000,0.201711,0.483772,04:42
19,0.617618,0.699325,0.815000,252.000000,0.225134,0.474192,04:41
20,0.584904,0.697955,0.800000,294.250000,0.233493,0.464462,04:40
21,0.591477,0.669013,0.820000,330.500000,0.212226,0.456787,04:46
22,0.630257,0.667168,0.812000,292.500000,0.216441,0.450726,04:36
23,0.606210,0.691791,0.798000,258.250000,0.237494,0.454296,04:46
24,0.602477,0.682775,0.805000,316.250000,0.241938,0.440837,04:43
25,0.603611,0.674400,0.812000,301.750000,0.227470,0.446930,04:43
26,0.563085,0.659443,0.823000,282.000000,0.218677,0.440767,04:58
27,0.604577,0.642332,0.829000,280.000000,0.187579,0.454753,04:50
28,0.565306,0.642794,0.831000,279.250000,0.204098,0.438696,04:54
29,0.585990,0.637215,0.824000,262.000000,0.198003,0.439212,04:53
30,0.577187,0.652019,0.816000,337.750000,0.218119,0.433900,04:56
31,0.573740,0.680438,0.812000,306.250000,0.226166,0.454272,04:56
32,0.579306,0.665978,0.818000,288.250000,0.215015,0.450964,04:56
33,0.577680,0.625789,0.833000,300.750000,0.211170,0.414619,04:53
34,0.565140,0.645229,0.818000,229.750000,0.215708,0.429520,04:50
35,0.542148,0.654931,0.815000,313.000000,0.225829,0.429102,04:42
36,0.534611,0.660344,0.814000,255.500000,0.217632,0.442712,04:49
37,0.552078,0.633819,0.839000,292.250000,0.202947,0.430873,04:48
38,0.546180,0.661639,0.830000,241.750000,0.206568,0.455071,04:46
39,0.546893,0.625990,0.817000,317.000000,0.204388,0.421601,04:43
40,0.535591,0.666253,0.800000,302.500000,0.227576,0.438677,04:45
41,0.558417,0.654541,0.829000,325.750000,0.220847,0.433695,04:43
42,0.556377,0.632698,0.823000,267.750000,0.216113,0.416585,04:39
43,0.533913,0.662628,0.815000,274.750000,0.226052,0.436576,04:42
44,0.553495,0.643624,0.815000,299.000000,0.221859,0.421765,04:40
45,0.556440,0.636939,0.813000,306.250000,0.213981,0.422957,04:42
46,0.505484,0.609189,0.831000,291.000000,0.199313,0.409876,04:41
47,0.542080,0.621201,0.822000,257.500000,0.195555,0.425647,04:44
48,0.557788,0.622423,0.825000,276.250000,0.195998,0.426425,05:05
49,0.559258,0.626473,0.826000,257.500000,0.205663,0.420810,04:47
50,0.547115,0.651600,0.815000,246.750000,0.230918,0.420682,04:58
51,0.528563,0.626180,0.818000,306.000000,0.199729,0.426451,04:48
52,0.548909,0.628398,0.825000,255.750000,0.190541,0.437857,04:48
53,0.546395,0.618162,0.839000,221.750000,0.188596,0.429566,04:49
54,0.575484,0.642329,0.819000,248.000000,0.218957,0.423372,04:39
55,0.557692,0.628106,0.841000,233.500000,0.186291,0.441815,04:41
56,0.520371,0.636370,0.834000,271.000000,0.207143,0.429228,04:39
57,0.515125,0.612125,0.822000,285.000000,0.200287,0.411838,04:42
58,0.548233,0.651576,0.816000,268.000000,0.214759,0.436817,04:46
59,0.532427,0.624133,0.820000,251.250000,0.190034,0.434099,04:47
60,0.547649,0.647579,0.819000,254.250000,0.203644,0.443936,04:46
61,0.509194,0.624318,0.849000,290.250000,0.188771,0.435547,04:45
62,0.564850,0.621017,0.837000,263.250000,0.191425,0.429592,04:45
63,0.517477,0.602659,0.833000,207.250000,0.192377,0.410282,04:44
64,0.517207,0.634733,0.843000,269.250000,0.202190,0.432543,04:45
65,0.524334,0.619904,0.813000,235.750000,0.221593,0.398311,04:47
66,0.506140,0.610566,0.830000,266.000000,0.208360,0.402206,04:45
67,0.521278,0.618815,0.824000,282.250000,0.209882,0.408933,04:45
68,0.505932,0.620787,0.853000,296.500000,0.189267,0.431520,04:41
69,0.534850,0.597615,0.843000,178.750000,0.180476,0.417139,04:45
70,0.541937,0.607186,0.850000,236.000000,0.204904,0.402283,04:47
71,0.511979,0.612215,0.840000,216.250000,0.182652,0.429563,04:50
72,0.532742,0.614060,0.842000,235.250000,0.188246,0.425815,04:46
73,0.514989,0.611695,0.829000,251.750000,0.211609,0.400087,04:52
74,0.519439,0.596038,0.833000,274.500000,0.194073,0.401965,04:52
75,0.533707,0.626253,0.846000,268.000000,0.196282,0.429971,04:40
76,0.502981,0.604378,0.840000,261.500000,0.186570,0.417808,04:43
77,0.489242,0.617430,0.848000,211.000000,0.198610,0.418820,04:41
78,0.521890,0.589975,0.831000,258.000000,0.194790,0.395185,04:42
79,0.505390,0.589885,0.847000,273.000000,0.191997,0.397888,04:41
80,0.504385,0.573740,0.833000,246.000000,0.188590,0.385150,04:41
81,0.507249,0.587853,0.831000,215.500000,0.176748,0.411105,04:41
82,0.484303,0.571712,0.822000,257.750000,0.185453,0.386259,04:43
83,0.500648,0.605517,0.838000,283.500000,0.199071,0.406446,04:44
84,0.513083,0.596199,0.841000,231.750000,0.187731,0.408467,04:41
85,0.519870,0.605100,0.840000,266.500000,0.183624,0.421476,04:46
86,0.482180,0.574677,0.841000,226.500000,0.184809,0.389868,04:44
87,0.516949,0.588638,0.841000,223.250000,0.183570,0.405068,04:43
88,0.551243,0.569693,0.842000,230.250000,0.183885,0.385808,04:47
89,0.481992,0.581497,0.831000,276.750000,0.189646,0.391851,04:45
90,0.496963,0.612573,0.827000,290.750000,0.210752,0.401821,04:44
91,0.495684,0.609546,0.826000,283.000000,0.204758,0.404788,04:48
92,0.519076,0.553482,0.840000,238.500000,0.170157,0.383325,04:45
93,0.468693,0.570993,0.846000,275.000000,0.176668,0.394325,04:45
94,0.479210,0.555832,0.847000,227.250000,0.176357,0.379474,04:46
95,0.459445,0.553641,0.844000,266.500000,0.171909,0.381732,04:46
96,0.493732,0.584011,0.829000,268.250000,0.189862,0.394149,04:45
97,0.492312,0.563687,0.823000,247.500000,0.185587,0.378100,04:47
98,0.475051,0.557068,0.839000,263.250000,0.181762,0.375307,04:46
99,0.467165,0.557920,0.826000,248.750000,0.191376,0.366544,04:46
100,0.457132,0.565197,0.831000,254.000000,0.192937,0.372260,04:47
101,0.448881,0.570653,0.831000,233.250000,0.200345,0.370308,04:48
102,0.453907,0.586736,0.847000,269.000000,0.192394,0.394342,04:45
103,0.483232,0.575970,0.839000,227.500000,0.179220,0.396749,04:46
104,0.478239,0.551397,0.845000,246.500000,0.175025,0.376372,04:46
105,0.474555,0.538737,0.852000,262.000000,0.179631,0.359106,04:41
106,0.462519,0.576607,0.850000,242.500000,0.171952,0.404656,04:44
107,0.488748,0.580510,0.842000,231.750000,0.207494,0.373015,04:45
108,0.447963,0.558783,0.839000,260.000000,0.197427,0.361356,04:47
109,0.484252,0.561343,0.856000,255.250000,0.186390,0.374954,04:46
110,0.488442,0.601338,0.817000,238.750000,0.187904,0.413434,04:45
111,0.457101,0.563644,0.831000,270.750000,0.196421,0.367223,04:41
112,0.441866,0.560548,0.852000,259.750000,0.164240,0.396308,04:40
113,0.471686,0.570134,0.837000,255.250000,0.182141,0.387992,04:46
114,0.458792,0.560194,0.848000,246.000000,0.185476,0.374718,04:46
115,0.451063,0.560929,0.843000,215.000000,0.181904,0.379025,04:48
116,0.460216,0.529274,0.833000,261.750000,0.165668,0.363606,04:44
117,0.481467,0.544043,0.855000,237.000000,0.168833,0.375210,04:45
118,0.470132,0.550551,0.846000,234.500000,0.170824,0.379727,04:48
119,0.486640,0.547972,0.858000,234.750000,0.163817,0.384155,04:41
120,0.435882,0.550496,0.829000,239.750000,0.179507,0.370989,04:43
121,0.472579,0.556324,0.834000,250.000000,0.188026,0.368298,04:41
122,0.454800,0.543120,0.848000,238.250000,0.178713,0.364407,04:45
123,0.468421,0.548937,0.844000,216.250000,0.184901,0.364036,04:46
124,0.488931,0.539628,0.849000,236.750000,0.172974,0.366654,04:47
125,0.447123,0.529882,0.844000,231.250000,0.165009,0.364873,04:40
126,0.438405,0.545629,0.850000,231.500000,0.166356,0.379273,04:41
127,0.468741,0.546400,0.837000,218.000000,0.174581,0.371818,04:49
128,0.444908,0.546156,0.847000,245.750000,0.189626,0.356530,04:46
129,0.428316,0.548059,0.862000,243.250000,0.173174,0.374886,04:46
130,0.446192,0.545484,0.855000,239.750000,0.161041,0.384443,04:44
131,0.463961,0.576752,0.845000,213.250000,0.193035,0.383718,04:44
132,0.463192,0.548713,0.842000,238.750000,0.176992,0.371721,04:51
133,0.453432,0.582697,0.834000,225.500000,0.200999,0.381698,04:41
134,0.460984,0.575206,0.854000,244.250000,0.196961,0.378245,04:40
135,0.483094,0.553582,0.852000,208.500000,0.164425,0.389157,04:39
136,0.478122,0.529491,0.856000,243.500000,0.160312,0.369178,04:41
137,0.454670,0.519462,0.854000,212.000000,0.166767,0.352695,04:41
138,0.465369,0.576426,0.843000,236.500000,0.184575,0.391851,04:40
139,0.452744,0.533646,0.855000,257.000000,0.177271,0.356375,04:44
140,0.453734,0.551767,0.847000,226.500000,0.172881,0.378885,04:48
141,0.443983,0.548461,0.850000,223.500000,0.172298,0.376163,04:45
142,0.447338,0.548225,0.859000,237.500000,0.163738,0.384487,04:47
143,0.469453,0.533019,0.848000,225.000000,0.165454,0.367565,04:40
144,0.454802,0.508179,0.856000,232.250000,0.170826,0.337353,04:42
145,0.436107,0.533575,0.844000,216.500000,0.180014,0.353561,04:41
146,0.453301,0.507199,0.851000,245.750000,0.154210,0.352988,04:39
147,0.470860,0.547085,0.858000,215.500000,0.160139,0.386945,04:41
148,0.443565,0.531179,0.838000,216.750000,0.173244,0.357935,04:43
149,0.439244,0.568033,0.839000,248.250000,0.190297,0.377736,04:40
150,0.421073,0.532161,0.838000,244.500000,0.172402,0.359760,04:47
151,0.450449,0.552957,0.855000,228.250000,0.169924,0.383034,04:47
152,0.446401,0.545845,0.842000,229.250000,0.171521,0.374323,05:04
153,0.477352,0.537743,0.840000,211.750000,0.186641,0.351102,05:03
154,0.425431,0.534611,0.846000,233.750000,0.171743,0.362868,04:52
155,0.427656,0.519287,0.854000,221.500000,0.170144,0.349143,04:49
156,0.437780,0.544828,0.854000,231.000000,0.170430,0.374398,04:59
157,0.442606,0.544639,0.843000,232.250000,0.175096,0.369543,04:48
158,0.465040,0.573583,0.837000,227.750000,0.186423,0.387160,04:41
159,0.435441,0.540095,0.846000,226.750000,0.174475,0.365620,04:45
160,0.421412,0.530698,0.861000,227.000000,0.169712,0.360986,04:42
161,0.435648,0.525106,0.850000,233.250000,0.158322,0.366784,05:01
162,0.443951,0.536325,0.864000,224.500000,0.165825,0.370501,05:01
163,0.444954,0.515397,0.856000,213.750000,0.164748,0.350649,04:53
164,0.458627,0.536838,0.853000,220.500000,0.167783,0.369055,04:48
165,0.445909,0.575834,0.849000,221.500000,0.189208,0.386627,04:48
166,0.435254,0.545896,0.845000,216.750000,0.167162,0.378734,04:45
167,0.464827,0.537003,0.847000,224.000000,0.175572,0.361431,04:49
168,0.456411,0.548299,0.837000,233.750000,0.197409,0.350890,05:01
169,0.459428,0.508349,0.858000,249.500000,0.160098,0.348251,04:51
170,0.435952,0.542751,0.851000,227.750000,0.184957,0.357794,04:46
171,0.440058,0.535096,0.853000,248.750000,0.170272,0.364825,04:39
172,0.446994,0.525086,0.850000,221.750000,0.164722,0.360364,04:42
173,0.440525,0.521904,0.853000,202.500000,0.164939,0.356965,04:38
174,0.429488,0.547398,0.840000,213.250000,0.183073,0.364325,04:45
175,0.439316,0.554240,0.845000,211.500000,0.183110,0.371130,04:44
176,0.448108,0.543471,0.854000,217.500000,0.167567,0.375904,04:52
177,0.431948,0.567959,0.845000,234.250000,0.195089,0.372870,04:48
178,0.458312,0.533025,0.848000,250.750000,0.174154,0.358871,04:47
179,0.438811,0.556489,0.854000,225.000000,0.177714,0.378775,04:46
180,0.432026,0.528665,0.849000,214.750000,0.174461,0.354204,04:51
181,0.437521,0.522721,0.844000,241.000000,0.176640,0.346081,04:52
182,0.442074,0.538285,0.842000,216.500000,0.171693,0.366592,04:52
183,0.437173,0.566059,0.846000,219.000000,0.177179,0.388880,04:51
184,0.413768,0.542994,0.838000,237.250000,0.164386,0.378608,04:43
185,0.442435,0.487761,0.845000,243.000000,0.160374,0.327388,04:39
186,0.448540,0.551381,0.838000,234.500000,0.187405,0.363976,04:41
187,0.439507,0.530638,0.851000,233.250000,0.168051,0.362587,04:40
188,0.427798,0.541895,0.850000,228.250000,0.179504,0.362391,04:41
189,0.429776,0.532140,0.841000,221.000000,0.174442,0.357698,04:40
190,0.443552,0.544792,0.855000,227.750000,0.168557,0.376235,04:44
191,0.448564,0.522388,0.840000,193.000000,0.169805,0.352583,04:45
192,0.421169,0.509544,0.851000,206.500000,0.165998,0.343546,04:58
193,0.450612,0.538003,0.837000,246.500000,0.181681,0.356322,04:55
194,0.432587,0.540593,0.837000,242.250000,0.169919,0.370673,05:00
195,0.436949,0.552702,0.849000,233.250000,0.183914,0.368788,04:50
196,0.432163,0.519362,0.860000,224.250000,0.155344,0.364018,04:51
197,0.461219,0.531143,0.848000,187.000000,0.164079,0.367064,04:39
198,0.437430,0.532419,0.851000,229.500000,0.164903,0.367516,04:40
199,0.460721,0.540945,0.856000,243.000000,0.173193,0.367752,04:38
200,0.457552,0.525203,0.852000,226.750000,0.169773,0.355430,04:39
201,0.449703,0.515668,0.843000,201.750000,0.166761,0.348907,04:38
202,0.444965,0.523475,0.841000,230.250000,0.163245,0.360229,04:46
203,0.453142,0.518853,0.859000,214.750000,0.152066,0.366787,05:00
204,0.460379,0.538397,0.861000,224.000000,0.168119,0.370278,04:59
205,0.449393,0.531814,0.844000,214.250000,0.171027,0.360786,04:52
206,0.415524,0.565282,0.846000,228.500000,0.174464,0.390819,04:49
207,0.420891,0.548994,0.842000,228.750000,0.183029,0.365965,04:50
208,0.428146,0.502155,0.852000,222.750000,0.160067,0.342088,04:51
209,0.428899,0.493668,0.855000,191.000000,0.155486,0.338182,04:51
210,0.404711,0.504679,0.856000,210.000000,0.160486,0.344193,04:51
211,0.405138,0.521541,0.844000,221.000000,0.167597,0.353943,04:41
212,0.430270,0.509908,0.851000,223.750000,0.159035,0.350874,04:39
213,0.453146,0.556949,0.850000,231.500000,0.180322,0.376627,04:39
214,0.423906,0.543107,0.844000,226.250000,0.165496,0.377611,04:39
215,0.434217,0.529747,0.849000,218.250000,0.176633,0.353114,04:38
216,0.434186,0.493739,0.852000,244.250000,0.147554,0.346185,04:39
217,0.410942,0.530323,0.841000,212.250000,0.160531,0.369792,04:56
218,0.445156,0.525680,0.861000,206.500000,0.165499,0.360181,04:49
219,0.451563,0.500553,0.849000,209.250000,0.153443,0.347110,04:52
220,0.444975,0.535414,0.845000,205.250000,0.170149,0.365265,04:57
221,0.454343,0.506314,0.851000,215.500000,0.164820,0.341494,04:55
222,0.432986,0.527404,0.844000,234.750000,0.168654,0.358750,04:58
223,0.422054,0.517796,0.854000,214.000000,0.167308,0.350488,04:59
224,0.419852,0.504596,0.856000,205.750000,0.165522,0.339074,05:04
225,0.414696,0.507916,0.851000,214.500000,0.158822,0.349094,04:50
226,0.443696,0.537965,0.855000,232.250000,0.165749,0.372215,04:48
227,0.439326,0.537778,0.856000,207.250000,0.172306,0.365472,04:46
228,0.402990,0.493000,0.849000,198.250000,0.153729,0.339271,04:49
229,0.402569,0.524030,0.854000,199.250000,0.167247,0.356783,04:47
230,0.402103,0.496233,0.847000,235.000000,0.164134,0.332098,04:42
231,0.404952,0.519379,0.850000,225.250000,0.166799,0.352580,04:55
232,0.426410,0.539965,0.846000,225.750000,0.180381,0.359584,04:48
233,0.422814,0.525510,0.856000,229.750000,0.170540,0.354970,04:49
234,0.416854,0.506552,0.836000,232.000000,0.154563,0.351989,04:49
235,0.429009,0.543693,0.838000,210.750000,0.175546,0.368148,04:47
236,0.423508,0.551774,0.853000,219.750000,0.169763,0.382012,04:50
237,0.431065,0.530370,0.845000,239.250000,0.176529,0.353841,04:57
238,0.448859,0.523941,0.857000,208.750000,0.162234,0.361707,05:00
239,0.428783,0.521939,0.848000,222.750000,0.166413,0.355527,04:58
240,0.416514,0.512055,0.855000,218.000000,0.154859,0.357196,04:57
241,0.429703,0.500496,0.859000,192.250000,0.157557,0.342938,04:59
242,0.443388,0.516930,0.853000,199.250000,0.158943,0.357987,04:52
243,0.428608,0.497526,0.851000,208.500000,0.159783,0.337743,05:02
244,0.403973,0.517216,0.848000,241.250000,0.170817,0.346399,04:41
245,0.431162,0.555502,0.851000,215.500000,0.184388,0.371114,04:41
246,0.459105,0.529450,0.860000,205.250000,0.177318,0.352132,04:42
247,0.423621,0.514567,0.854000,223.000000,0.160707,0.353860,04:40
248,0.420757,0.513804,0.847000,214.250000,0.170368,0.343436,04:55
249,0.419368,0.521245,0.855000,225.500000,0.157250,0.363995,05:01
250,0.436368,0.512863,0.864000,212.250000,0.162446,0.350417,04:55
251,0.420780,0.514631,0.869000,231.000000,0.165311,0.349320,04:58
252,0.416320,0.513280,0.845000,188.000000,0.168168,0.345112,04:58
253,0.412148,0.514152,0.849000,225.000000,0.171104,0.343047,04:55
254,0.433676,0.541109,0.851000,218.000000,0.174668,0.366441,04:58
