epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,0.494586,0.540385,0.846000,323.000000,0.180949,0.599060,04:58
1,0.457366,0.533139,0.818000,188.750000,0.212562,0.534295,04:58
2,0.466745,0.511643,0.847000,256.750000,0.166494,0.575247,04:36
3,0.468473,0.510494,0.834000,278.000000,0.188431,0.536772,04:37
4,0.477708,0.543191,0.834000,252.750000,0.204384,0.564678,04:40
5,0.462211,0.514111,0.836000,172.750000,0.199428,0.524472,04:34
6,0.463282,0.520796,0.831000,196.500000,0.211168,0.516046,04:34
7,0.477433,0.518387,0.831000,269.750000,0.200998,0.528981,04:37
8,0.426020,0.537291,0.828000,278.000000,0.209530,0.546268,04:37
9,0.427141,0.517513,0.832000,287.500000,0.202240,0.525456,04:37
10,0.446412,0.511943,0.822000,204.000000,0.208620,0.505539,04:36
11,0.454683,0.528096,0.841000,277.500000,0.190867,0.562050,04:36
12,0.473155,0.522143,0.823000,229.250000,0.209099,0.521739,04:35
13,0.474971,0.499756,0.845000,275.250000,0.192355,0.512335,04:40
14,0.452473,0.512269,0.825000,238.500000,0.206850,0.509032,04:36
15,0.448677,0.514013,0.849000,236.250000,0.187831,0.543636,04:37
16,0.465394,0.515129,0.836000,206.500000,0.196930,0.530331,04:37
17,0.445485,0.534560,0.819000,227.000000,0.221577,0.521638,04:39
18,0.442955,0.506491,0.828000,306.500000,0.207820,0.497785,04:34
19,0.466874,0.532601,0.819000,248.000000,0.231448,0.501923,04:37
20,0.462291,0.524778,0.822000,272.250000,0.222033,0.504575,04:37
21,0.439915,0.524417,0.826000,220.750000,0.230256,0.490268,04:36
22,0.444686,0.521058,0.827000,257.000000,0.217786,0.505453,04:50
23,0.438334,0.497843,0.838000,261.750000,0.186418,0.519041,04:54
24,0.424998,0.499365,0.838000,213.500000,0.192432,0.511555,05:01
25,0.428495,0.502694,0.853000,278.250000,0.190653,0.520067,04:38
26,0.444813,0.510726,0.828000,278.250000,0.208182,0.504241,04:39
27,0.448856,0.514262,0.842000,170.750000,0.196574,0.529481,04:38
28,0.460781,0.521875,0.848000,231.250000,0.188091,0.556306,04:37
29,0.429724,0.496095,0.851000,174.250000,0.193736,0.503932,04:39
