epoch,train_loss,valid_loss,validation,div_metric,div_loss,time
0,0.177381,0.199942,0.617000,564.500000,0.499855,04:18
1,0.166734,0.183697,0.557000,626.500000,0.459241,04:07
2,0.160565,0.188250,0.730000,552.250000,0.470626,04:11
3,0.145756,0.168424,0.623000,313.000000,0.421059,04:12
4,0.146750,0.159038,0.727000,612.500000,0.397594,04:13
5,0.144279,0.170423,0.730000,446.500000,0.426059,04:13
6,0.132945,0.156842,0.718000,437.750000,0.392106,04:12
7,0.130044,0.151424,0.717000,520.250000,0.378559,04:13
8,0.137730,0.146405,0.782000,356.000000,0.366013,04:14
9,0.130301,0.146215,0.712000,307.000000,0.365537,04:13
