epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,0.520083,0.628823,0.825000,551.750000,0.224668,0.404156,04:18
1,0.508454,0.635809,0.819000,252.000000,0.221285,0.414524,04:16
2,0.499125,0.594203,0.823000,249.500000,0.206992,0.387211,04:14
3,0.513931,0.608335,0.833000,268.750000,0.200760,0.407575,04:13
4,0.485297,0.597325,0.850000,228.250000,0.174596,0.422729,04:14
5,0.504151,0.562175,0.848000,222.250000,0.187918,0.374257,04:13
6,0.548976,0.624837,0.864000,226.000000,0.182572,0.387494,04:13
7,0.523737,0.675639,0.828000,240.250000,0.202855,0.411927,04:11
8,0.554003,0.684363,0.853000,234.000000,0.173219,0.407214,04:21
9,0.551170,0.671720,0.853000,219.500000,0.162283,0.412067,04:24
10,0.562583,0.650477,0.845000,182.750000,0.176403,0.368232,04:18
11,0.594708,0.681297,0.864000,209.500000,0.170357,0.357619,04:18
12,0.622591,0.738816,0.843000,224.250000,0.184320,0.388608,04:19
13,0.716553,0.764692,0.849000,209.750000,0.173694,0.382564,04:29
14,0.655812,0.712240,0.862000,199.000000,0.163735,0.352024,04:24
15,0.602450,0.738955,0.860000,211.500000,0.156026,0.395698,04:13
16,0.639876,0.746188,0.856000,179.500000,0.171678,0.368496,04:21
17,0.747940,0.809950,0.863000,171.250000,0.162274,0.404266,04:13
18,0.680788,0.813318,0.858000,212.750000,0.166308,0.397549,04:23
19,0.695291,0.853653,0.861000,201.000000,0.154991,0.419677,04:22
20,0.751993,0.842883,0.866000,192.250000,0.158236,0.399822,04:12
21,0.762765,0.896094,0.870000,200.250000,0.162478,0.392411,04:21
22,0.672526,0.901721,0.867000,213.500000,0.151801,0.385597,04:18
23,0.843763,0.934691,0.852000,160.750000,0.162567,0.381962,04:17
24,0.865920,0.926189,0.878000,191.250000,0.143916,0.393701,04:21
25,0.785036,0.919028,0.863000,196.000000,0.145878,0.379281,04:22
26,0.842085,0.977934,0.858000,179.250000,0.148950,0.382135,04:12
27,0.893379,1.083420,0.855000,203.500000,0.157150,0.407674,04:12
28,0.804146,1.108584,0.878000,165.000000,0.154552,0.397644,04:12
29,0.931331,1.106435,0.867000,174.000000,0.146009,0.434795,04:11
30,0.914180,1.009820,0.892000,179.500000,0.130704,0.408582,04:13
31,0.967775,1.075888,0.878000,173.500000,0.142488,0.420445,04:12
32,1.000287,1.207269,0.873000,157.750000,0.154574,0.449857,04:13
33,0.941208,1.108143,0.879000,181.750000,0.134453,0.408986,04:14
34,0.975899,1.163463,0.868000,162.500000,0.148331,0.392140,04:13
35,0.984709,1.221510,0.875000,176.250000,0.153639,0.376496,04:24
36,1.097601,1.302809,0.868000,181.750000,0.149364,0.436499,04:16
37,1.083175,1.264324,0.890000,150.000000,0.146622,0.413914,04:16
38,1.110701,1.311187,0.869000,150.250000,0.149198,0.445838,04:24
39,1.150606,1.316900,0.883000,156.000000,0.150395,0.399491,04:24
40,1.291342,1.385264,0.880000,151.500000,0.151088,0.418299,04:42
41,1.080657,1.467152,0.867000,176.000000,0.157503,0.411884,04:44
42,1.124328,1.441278,0.876000,153.000000,0.147685,0.407484,04:41
43,1.340731,1.545584,0.871000,152.000000,0.158885,0.433387,04:40
44,1.189400,1.424953,0.881000,151.500000,0.135600,0.435071,04:41
45,1.263377,1.420008,0.887000,149.250000,0.133135,0.448120,04:45
46,1.357664,1.484196,0.888000,134.750000,0.140428,0.459070,04:44
47,1.184883,1.517982,0.888000,115.750000,0.135444,0.488605,04:42
48,1.210833,1.572005,0.885000,127.250000,0.150581,0.427593,04:41
49,1.282674,1.562347,0.877000,137.000000,0.144663,0.419508,04:38
50,1.235842,1.428568,0.886000,146.750000,0.124466,0.445285,04:38
51,1.388651,1.619840,0.883000,137.500000,0.149467,0.439053,04:38
52,1.218983,1.610403,0.888000,155.750000,0.137959,0.479138,04:40
53,1.508112,1.617023,0.887000,142.500000,0.135197,0.508405,04:39
54,1.267702,1.572533,0.892000,123.500000,0.130408,0.503188,04:39
55,1.386686,1.593767,0.883000,122.500000,0.143342,0.418365,04:37
56,1.308366,1.651961,0.883000,138.250000,0.137757,0.481025,04:39
57,1.329152,1.494352,0.892000,130.000000,0.120572,0.469489,04:39
58,1.295711,1.575695,0.898000,143.250000,0.126538,0.500123,04:39
59,1.204635,1.555178,0.892000,119.250000,0.121622,0.484906,04:39
60,1.372267,1.601834,0.891000,139.500000,0.130817,0.450645,04:49
61,1.325886,1.613613,0.892000,147.750000,0.127801,0.450626,04:35
62,1.281701,1.643372,0.899000,150.500000,0.131888,0.443191,04:20
63,1.423294,1.736987,0.884000,128.500000,0.140152,0.419561,04:21
64,1.374030,1.751102,0.881000,148.250000,0.137101,0.421226,04:22
65,1.584609,1.673534,0.892000,129.000000,0.121365,0.496293,04:18
66,1.526281,1.785691,0.879000,126.500000,0.138984,0.437543,04:20
67,1.615696,1.788732,0.894000,134.750000,0.133341,0.455320,04:20
68,1.565398,1.826581,0.880000,140.750000,0.139665,0.429929,04:20
69,1.409801,1.775277,0.885000,158.250000,0.129292,0.443569,04:21
70,1.391498,1.861639,0.883000,145.750000,0.137717,0.443156,04:19
71,1.463256,1.866313,0.877000,144.250000,0.136129,0.423350,04:20
72,1.513016,1.770058,0.904000,144.250000,0.120846,0.489089,04:21
73,1.399819,1.711057,0.895000,116.750000,0.112176,0.521992,04:22
74,1.377762,1.790620,0.907000,112.750000,0.116920,0.551272,04:23
75,1.441087,1.726383,0.905000,112.000000,0.109191,0.536205,04:23
76,1.540018,1.821907,0.900000,114.250000,0.120276,0.510901,04:25
77,1.497875,1.858798,0.902000,113.000000,0.117204,0.546111,04:16
78,1.539331,1.835808,0.898000,104.000000,0.116372,0.532438,04:15
79,1.582625,1.710464,0.915000,113.500000,0.104930,0.535242,04:13
80,1.450032,1.771513,0.904000,114.750000,0.109776,0.542020,04:14
81,1.666291,1.910612,0.902000,111.000000,0.119286,0.538828,04:15
82,1.553696,1.862691,0.903000,112.250000,0.112194,0.538807,04:14
83,1.656080,1.791769,0.912000,110.250000,0.101970,0.588527,04:14
84,1.602043,1.899022,0.901000,106.750000,0.116672,0.522296,04:14
85,1.652416,2.002479,0.910000,109.500000,0.122862,0.515854,04:16
86,1.606296,1.886570,0.903000,105.000000,0.108109,0.546023,04:16
87,1.677960,1.975270,0.903000,111.750000,0.115009,0.549160,04:15
88,1.684817,2.057823,0.902000,110.750000,0.118766,0.549489,04:19
89,1.631510,1.974211,0.906000,113.500000,0.109457,0.551276,04:47
