epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,9.039689,8.938286,0.537000,0.000000,777.000000,9.600423,8.938287,04:38
1,7.456861,7.573228,0.571000,0.006000,537.250000,8.590879,7.573227,04:33
2,6.655313,6.795784,0.617000,0.031000,520.250000,8.635861,6.795784,04:36
3,6.027133,6.216545,0.624000,0.077000,491.500000,8.376727,6.216544,04:29
4,5.708745,5.802901,0.622000,0.126000,487.000000,8.247931,5.802901,04:27
5,5.380468,5.631539,0.653000,0.173000,492.750000,8.343700,5.631540,04:22
6,5.344558,5.405918,0.650000,0.196000,482.500000,8.276183,5.405918,04:25
7,5.012388,5.308332,0.660000,0.213000,484.750000,8.194882,5.308332,04:35
8,5.105717,5.154030,0.660000,0.232000,482.000000,8.147154,5.154030,04:25
9,4.798280,5.167702,0.678000,0.248000,482.750000,8.132477,5.167703,04:28
10,4.740199,4.982330,0.660000,0.275000,472.500000,7.987842,4.982329,04:28
11,4.734779,4.932480,0.663000,0.279000,480.750000,8.068121,4.932480,04:31
12,4.737560,4.894600,0.682000,0.277000,488.750000,8.183160,4.894600,04:31
13,4.600049,4.810487,0.691000,0.293000,473.500000,8.000642,4.810487,04:39
14,4.706549,4.784021,0.686000,0.311000,471.750000,8.049672,4.784021,04:47
15,4.430103,4.776222,0.676000,0.308000,464.000000,7.871686,4.776222,04:51
16,4.407575,4.735877,0.672000,0.314000,470.250000,7.984854,4.735877,04:52
17,4.543565,4.712914,0.666000,0.312000,480.250000,8.080427,4.712914,04:52
18,4.461332,4.690585,0.679000,0.319000,473.250000,7.979497,4.690585,04:48
19,4.290228,4.664629,0.681000,0.318000,461.750000,7.885567,4.664629,04:48
20,4.293634,4.510723,0.676000,0.342000,475.250000,8.009412,4.510723,04:50
21,4.260864,4.616702,0.696000,0.354000,480.500000,8.039749,4.616702,04:50
22,4.293931,4.504445,0.698000,0.346000,474.000000,7.985365,4.504446,04:47
23,4.145501,4.487391,0.679000,0.348000,471.500000,7.972237,4.487391,04:50
24,4.210106,4.436806,0.695000,0.357000,475.500000,7.987745,4.436806,04:50
25,4.308522,4.528948,0.687000,0.343000,485.750000,8.086280,4.528948,04:49
26,4.312917,4.467138,0.688000,0.367000,471.750000,7.904288,4.467138,04:50
27,4.265849,4.443286,0.707000,0.365000,468.000000,7.919078,4.443285,04:47
28,4.350445,4.438898,0.690000,0.373000,480.750000,8.010773,4.438898,04:49
29,4.133756,4.424107,0.698000,0.362000,471.750000,7.914350,4.424107,04:41
30,4.242915,4.400403,0.695000,0.373000,466.750000,7.789470,4.400403,04:37
31,4.194758,4.357681,0.689000,0.361000,483.000000,8.049939,4.357682,04:39
32,4.188996,4.338696,0.693000,0.382000,494.250000,8.092948,4.338696,04:36
33,4.082016,4.396564,0.694000,0.371000,474.250000,7.885106,4.396564,04:28
34,4.025764,4.444632,0.696000,0.352000,470.750000,7.899040,4.444633,04:27
35,4.141104,4.341271,0.702000,0.377000,470.500000,7.886961,4.341270,04:24
36,4.083418,4.344652,0.686000,0.372000,490.750000,8.051211,4.344652,04:25
37,4.075955,4.235557,0.691000,0.376000,483.000000,8.034285,4.235557,04:26
38,3.937672,4.255831,0.702000,0.387000,479.750000,7.945201,4.255831,04:23
39,4.113064,4.266140,0.696000,0.397000,475.750000,7.954159,4.266140,04:24
40,3.959153,4.278005,0.707000,0.390000,470.000000,7.951315,4.278004,04:26
41,3.999142,4.247319,0.703000,0.391000,483.000000,8.015960,4.247319,04:32
42,3.949950,4.248580,0.700000,0.391000,473.250000,7.898970,4.248580,04:25
43,4.090015,4.314386,0.697000,0.385000,487.500000,7.993992,4.314386,04:25
44,4.036764,4.172359,0.699000,0.394000,484.250000,8.068038,4.172359,04:25
45,3.829218,4.288598,0.723000,0.387000,484.250000,7.978269,4.288599,04:24
46,4.042920,4.231076,0.705000,0.391000,489.500000,8.038345,4.231076,04:38
47,4.049572,4.129764,0.688000,0.406000,476.500000,7.945775,4.129764,04:37
48,3.960585,4.110292,0.716000,0.413000,507.250000,8.127171,4.110292,04:34
49,4.037411,4.173961,0.709000,0.396000,502.750000,8.134560,4.173961,04:36
50,3.957632,4.162766,0.713000,0.399000,477.000000,7.912930,4.162767,04:44
51,3.942113,4.152821,0.695000,0.396000,487.250000,8.099611,4.152821,04:44
52,3.934164,4.213425,0.699000,0.409000,476.750000,7.896472,4.213424,04:40
53,4.061341,4.168792,0.700000,0.386000,498.000000,8.074080,4.168792,04:26
54,3.905803,4.050463,0.703000,0.430000,478.750000,7.889428,4.050463,04:31
55,4.055981,4.133510,0.713000,0.406000,498.250000,8.077933,4.133510,04:30
56,3.847243,4.063716,0.710000,0.417000,473.250000,7.877754,4.063716,04:25
57,3.794179,4.070866,0.700000,0.423000,489.750000,8.096171,4.070866,04:24
58,3.779222,4.100084,0.706000,0.420000,499.000000,8.110327,4.100085,04:25
