epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,9.135461,9.245570,0.483000,0.000000,777.000000,9.600423,9.245568,04:15
1,8.933402,8.956766,0.502000,0.000000,556.500000,8.719293,8.956768,04:12
2,8.741672,8.880610,0.514000,0.000000,545.000000,8.713243,8.880610,04:12
3,8.582689,8.724287,0.536000,0.000000,538.000000,8.726433,8.724287,04:11
4,8.487041,8.465627,0.591000,0.000000,515.750000,8.578859,8.465627,04:09
5,8.359336,8.457459,0.600000,0.000000,460.250000,8.330327,8.457458,04:06
6,8.328883,8.380366,0.613000,0.000000,449.750000,8.198032,8.380365,04:06
7,8.252311,8.370020,0.613000,0.000000,434.750000,8.094560,8.370020,04:14
8,8.332360,8.361120,0.619000,0.001000,434.500000,8.142097,8.361120,04:13
9,8.298572,8.352570,0.630000,0.001000,438.250000,8.180964,8.352570,04:13
10,8.199144,8.275050,0.629000,0.000000,461.250000,8.286793,8.275050,04:05
11,8.210588,8.275200,0.635000,0.001000,525.500000,8.660498,8.275198,04:04
12,8.128541,8.262306,0.635000,0.001000,496.250000,8.504400,8.262306,04:05
13,8.118642,8.211781,0.646000,0.002000,554.500000,8.827651,8.211780,04:11
14,8.045988,8.202444,0.641000,0.002000,676.500000,9.339302,8.202443,04:08
15,8.045987,8.194855,0.653000,0.001000,718.000000,9.490220,8.194855,04:10
16,8.089046,8.156628,0.656000,0.000000,721.000000,9.505726,8.156629,04:05
17,8.126794,8.166495,0.648000,0.000000,740.250000,9.587251,8.166494,04:03
18,8.030927,8.150644,0.653000,0.001000,736.250000,9.559267,8.150643,04:03
19,8.028569,8.146800,0.662000,0.000000,744.000000,9.593712,8.146800,04:16
20,8.017087,8.173272,0.661000,0.000000,743.250000,9.599546,8.173272,04:11
21,8.022264,8.099311,0.664000,0.002000,702.000000,9.471247,8.099310,04:05
22,8.070054,8.082506,0.661000,0.003000,720.750000,9.516960,8.082506,04:05
23,7.957693,8.073357,0.673000,0.000000,743.750000,9.603572,8.073357,04:14
