epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,9.041856,9.073653,0.526000,0.000000,777.000000,9.600423,9.073654,04:42
1,7.967439,8.108307,0.547000,0.012000,500.500000,8.229180,8.108306,04:32
2,6.953693,7.048500,0.603000,0.042000,518.250000,8.528024,7.048499,04:27
3,5.848456,6.101434,0.607000,0.107000,457.250000,8.053362,6.101433,04:31
4,5.237603,5.322343,0.648000,0.180000,468.250000,8.143393,5.322344,04:31
5,4.933229,5.097449,0.636000,0.207000,475.250000,8.084688,5.097450,04:26
6,4.695633,4.868337,0.667000,0.232000,475.500000,8.058609,4.868337,04:24
7,4.506330,4.727351,0.670000,0.271000,469.250000,7.972008,4.727351,04:24
8,4.396331,4.593160,0.684000,0.286000,472.000000,7.974873,4.593160,04:25
9,4.189259,4.438077,0.677000,0.318000,471.250000,7.960370,4.438077,04:24
10,4.059405,4.378273,0.689000,0.321000,471.750000,7.856012,4.378274,04:34
11,4.131234,4.201299,0.691000,0.344000,477.000000,7.922497,4.201299,04:44
12,3.896073,4.222261,0.668000,0.355000,473.500000,7.852163,4.222261,04:34
13,3.852973,4.159376,0.692000,0.361000,474.750000,7.854972,4.159376,04:27
14,3.919832,4.114820,0.680000,0.381000,477.000000,7.848146,4.114820,04:27
15,3.727345,4.076174,0.704000,0.384000,459.500000,7.631903,4.076174,04:32
16,3.705741,3.986420,0.693000,0.393000,481.500000,7.966680,3.986421,04:34
17,3.655107,4.060935,0.688000,0.368000,467.250000,7.713351,4.060935,04:32
18,3.825067,4.097906,0.696000,0.382000,452.000000,7.578015,4.097906,04:34
19,3.553078,3.928444,0.701000,0.413000,461.750000,7.610547,3.928445,04:33
20,3.476068,3.910067,0.701000,0.419000,463.000000,7.695912,3.910067,04:30
21,3.633351,3.930084,0.709000,0.428000,466.750000,7.715342,3.930084,04:28
22,3.700930,3.818158,0.710000,0.441000,482.250000,7.884916,3.818158,04:33
23,3.349887,3.863911,0.715000,0.429000,483.750000,7.964472,3.863911,04:39
24,3.608860,3.848274,0.714000,0.433000,483.500000,7.928101,3.848274,04:37
25,3.559458,3.778631,0.709000,0.439000,469.250000,7.645669,3.778632,04:38
26,3.514416,3.724637,0.719000,0.454000,473.000000,7.806229,3.724637,04:36
27,3.637200,3.679529,0.725000,0.445000,483.500000,7.922972,3.679529,04:28
28,3.375875,3.741503,0.717000,0.449000,474.250000,7.802202,3.741503,04:37
29,3.413916,3.694589,0.731000,0.452000,479.250000,7.859534,3.694588,04:27
30,3.384893,3.723060,0.722000,0.459000,480.250000,7.940742,3.723060,04:24
31,3.473017,3.654643,0.723000,0.452000,473.500000,7.708302,3.654643,04:24
32,3.413868,3.701987,0.698000,0.458000,463.500000,7.644757,3.701987,04:26
33,3.522996,3.693511,0.710000,0.466000,475.000000,7.680330,3.693511,04:25
34,3.364244,3.663207,0.720000,0.446000,490.500000,7.973759,3.663207,04:24
35,3.350085,3.719038,0.719000,0.462000,476.750000,7.854843,3.719038,04:26
36,3.439801,3.676779,0.725000,0.465000,472.000000,7.726980,3.676779,04:23
37,3.375531,3.677859,0.722000,0.458000,485.000000,7.823643,3.677859,04:25
38,3.530799,3.628341,0.714000,0.470000,465.000000,7.525450,3.628341,04:24
39,3.432528,3.589526,0.718000,0.469000,490.750000,7.805811,3.589526,04:26
40,3.257742,3.618106,0.721000,0.466000,472.750000,7.666063,3.618106,04:23
41,3.154529,3.592824,0.730000,0.477000,456.000000,7.532890,3.592823,04:26
42,3.447265,3.608342,0.727000,0.470000,489.000000,7.799234,3.608343,04:25
43,3.240739,3.627439,0.723000,0.461000,484.500000,7.809368,3.627439,04:24
44,3.406253,3.591088,0.727000,0.479000,477.250000,7.589556,3.591088,04:38
45,3.278950,3.687400,0.720000,0.469000,493.000000,7.991326,3.687400,04:27
46,3.393364,3.627238,0.720000,0.472000,477.250000,7.730202,3.627238,04:25
47,3.284411,3.480690,0.732000,0.490000,473.000000,7.713962,3.480690,04:37
48,3.151089,3.485301,0.725000,0.483000,491.000000,8.005316,3.485301,04:26
49,3.236033,3.572376,0.724000,0.479000,502.000000,8.017759,3.572376,04:27
50,3.163230,3.502223,0.736000,0.484000,491.500000,7.894549,3.502222,04:26
51,3.124440,3.542067,0.730000,0.480000,502.750000,7.892050,3.542067,04:26
52,3.435367,3.512011,0.723000,0.485000,516.500000,8.031845,3.512011,04:26
53,3.318549,3.540148,0.725000,0.469000,465.750000,7.404348,3.540148,04:27
54,3.427091,3.587088,0.734000,0.485000,472.250000,7.692530,3.587088,04:36
55,3.186672,3.547775,0.721000,0.485000,457.750000,7.511502,3.547775,04:35
56,3.174196,3.424173,0.737000,0.490000,490.000000,7.890957,3.424173,04:25
57,3.317558,3.501664,0.730000,0.483000,493.500000,7.738044,3.501663,04:25
58,3.157042,3.423472,0.738000,0.502000,494.000000,7.889318,3.423472,04:26
59,3.325852,3.455642,0.741000,0.498000,487.750000,7.822472,3.455642,04:26
60,3.193030,3.498677,0.736000,0.485000,477.750000,7.615256,3.498677,04:27
61,3.125951,3.443200,0.727000,0.484000,469.500000,7.555614,3.443201,04:27
62,3.014874,3.469418,0.734000,0.501000,496.500000,7.911593,3.469418,04:26
63,3.198950,3.473170,0.727000,0.494000,492.750000,7.859969,3.473169,04:24
64,3.147288,3.438348,0.744000,0.500000,501.500000,7.990469,3.438348,04:33
65,3.187888,3.406022,0.719000,0.503000,496.250000,8.025135,3.406022,06:16
66,3.207170,3.503335,0.732000,0.506000,524.000000,8.099679,3.503335,06:15
67,3.115665,3.402387,0.728000,0.508000,514.000000,8.100739,3.402386,06:17
68,3.109057,3.433690,0.726000,0.504000,481.500000,7.662258,3.433689,06:27
