epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,9.233030,9.271540,0.463000,0.000000,777.000000,9.600423,9.271540,06:52
1,9.121829,9.250443,0.461000,0.000000,560.750000,8.711047,9.250444,06:52
2,9.023244,9.056218,0.473000,0.001000,563.500000,8.763830,9.056217,07:06
3,8.841406,8.949822,0.499000,0.001000,559.500000,8.764132,8.949823,07:04
4,8.630823,8.700412,0.607000,0.000000,563.000000,8.881400,8.700414,07:09
5,8.499691,8.559935,0.630000,0.000000,465.000000,8.245949,8.559936,06:54
6,8.387992,8.471071,0.655000,0.000000,428.250000,7.908016,8.471070,06:56
7,8.321139,8.405505,0.677000,0.001000,409.750000,7.783123,8.405506,06:50
8,8.178432,8.332621,0.684000,0.000000,379.500000,7.570220,8.332623,06:53
9,8.206818,8.298659,0.683000,0.000000,368.750000,7.348149,8.298658,06:50
10,8.112951,8.227818,0.686000,0.000000,381.000000,7.534405,8.227818,07:06
11,8.113290,8.176077,0.696000,0.001000,371.500000,7.393566,8.176078,06:46
12,8.099607,8.214987,0.685000,0.002000,359.750000,7.361744,8.214987,06:45
13,8.152002,8.213334,0.697000,0.000000,379.750000,7.522964,8.213333,06:42
14,8.088853,8.189536,0.699000,0.000000,363.750000,7.404444,8.189537,06:59
15,8.107555,8.230743,0.707000,0.000000,354.750000,7.278016,8.230743,06:44
16,8.055790,8.179041,0.699000,0.002000,367.500000,7.390196,8.179041,06:42
17,8.078677,8.145783,0.706000,0.000000,373.000000,7.411547,8.145784,06:55
18,8.031221,8.166679,0.710000,0.001000,390.750000,7.588060,8.166678,06:59
19,8.017917,8.144534,0.717000,0.000000,430.500000,7.881206,8.144535,06:58
20,8.044097,8.172951,0.707000,0.000000,403.000000,7.677840,8.172951,07:12
21,7.965376,8.192734,0.704000,0.002000,428.750000,7.905337,8.192733,07:01
22,8.046972,8.140537,0.708000,0.001000,451.750000,8.015480,8.140536,07:04
23,8.028617,8.146282,0.712000,0.001000,569.250000,8.772898,8.146282,07:12
24,7.977999,8.105390,0.707000,0.000000,487.000000,8.312422,8.105389,07:18
25,7.977598,8.113038,0.711000,0.000000,494.250000,8.350379,8.113038,07:06
26,7.977106,8.079127,0.720000,0.000000,541.750000,8.663229,8.079127,07:26
27,8.006734,8.008781,0.713000,0.001000,604.000000,9.024834,8.008781,07:20
28,8.003286,8.085572,0.719000,0.003000,566.000000,8.893896,8.085571,07:26
29,7.901183,8.087102,0.709000,0.001000,573.500000,8.907044,8.087101,07:16
30,7.967197,8.033014,0.709000,0.002000,570.500000,8.838214,8.033013,07:21
31,7.878325,7.989485,0.707000,0.001000,549.250000,8.717552,7.989485,07:20
32,7.954977,7.947203,0.721000,0.002000,586.750000,8.968361,7.947203,07:20
33,7.839001,8.012515,0.714000,0.002000,516.500000,8.560368,8.012515,07:09
34,7.898291,7.983337,0.711000,0.000000,512.500000,8.563812,7.983336,07:07
35,7.876440,7.967298,0.713000,0.001000,560.000000,8.830971,7.967297,07:09
36,7.886045,7.958911,0.723000,0.003000,586.250000,8.967154,7.958914,07:07
37,7.753050,7.929396,0.714000,0.000000,613.750000,9.119213,7.929396,07:07
38,7.836683,8.024862,0.728000,0.000000,538.750000,8.735390,8.024863,07:16
39,7.846230,7.917123,0.730000,0.004000,580.750000,8.961444,7.917123,07:14
40,7.871089,7.931899,0.722000,0.003000,574.750000,8.940247,7.931899,07:10
41,7.854344,7.900153,0.724000,0.004000,583.500000,9.026757,7.900153,07:16
42,7.836155,7.936817,0.720000,0.005000,581.250000,8.992310,7.936818,06:57
43,7.774273,7.903708,0.726000,0.000000,591.250000,9.051411,7.903708,06:49
44,7.790317,7.913051,0.728000,0.002000,594.250000,9.060459,7.913051,06:50
45,7.846917,7.914262,0.724000,0.001000,583.250000,9.013191,7.914262,06:53
46,7.800051,7.893434,0.730000,0.002000,593.000000,9.057535,7.893435,06:55
47,7.822069,7.870567,0.727000,0.002000,595.500000,9.081790,7.870567,07:08
48,7.740040,7.798499,0.728000,0.004000,607.000000,9.079596,7.798498,07:07
49,7.789724,7.892329,0.733000,0.001000,611.750000,9.120125,7.892329,07:14
50,7.750507,7.873374,0.733000,0.004000,613.000000,9.121851,7.873374,07:12
51,7.761655,7.841945,0.726000,0.001000,627.750000,9.190924,7.841945,07:17
