epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,9.142176,9.209104,0.475000,0.002000,777.000000,9.600423,9.209104,06:38
1,9.135165,9.252221,0.479000,0.001000,551.500000,8.679646,9.252221,06:40
2,8.905727,8.793935,0.601000,0.000000,556.250000,8.712334,8.793935,06:35
3,8.594079,8.704022,0.642000,0.000000,487.750000,8.453264,8.704021,06:12
4,8.629625,8.703806,0.644000,0.002000,517.000000,8.587934,8.703807,06:33
5,8.537672,8.589553,0.657000,0.001000,420.750000,7.963949,8.589552,06:24
6,8.537307,8.577863,0.655000,0.001000,412.250000,7.925227,8.577862,06:28
7,8.628044,8.646603,0.644000,0.000000,439.250000,8.159361,8.646604,06:24
8,8.467943,8.547061,0.652000,0.002000,508.750000,8.608614,8.547059,06:17
9,8.427452,8.507345,0.666000,0.001000,535.750000,8.714993,8.507345,06:21
10,8.300799,8.453798,0.656000,0.003000,546.750000,8.760756,8.453798,06:28
11,8.332434,8.391817,0.680000,0.003000,545.000000,8.746099,8.391817,06:15
12,8.293226,8.353608,0.674000,0.003000,512.000000,8.592216,8.353609,06:23
13,8.363356,8.427657,0.666000,0.000000,515.000000,8.614356,8.427657,06:15
14,8.349161,8.354546,0.676000,0.000000,519.750000,8.612241,8.354545,06:05
15,8.336395,8.369625,0.674000,0.001000,479.500000,8.391975,8.369625,06:04
16,8.295197,8.358554,0.657000,0.001000,492.500000,8.477817,8.358554,06:07
17,8.288243,8.303840,0.676000,0.000000,521.500000,8.626028,8.303840,06:16
18,8.227954,8.322363,0.658000,0.001000,517.500000,8.635366,8.322363,06:28
19,8.274042,8.237867,0.669000,0.001000,537.750000,8.691813,8.237866,06:25
20,8.222712,8.318312,0.687000,0.001000,510.000000,8.568024,8.318312,06:33
21,8.209023,8.225105,0.677000,0.001000,518.250000,8.593539,8.225105,06:27
22,8.228713,8.242752,0.671000,0.000000,491.250000,8.444813,8.242752,06:16
23,8.196636,8.227942,0.671000,0.001000,564.500000,8.829329,8.227944,06:33
24,8.179416,8.222796,0.676000,0.001000,523.000000,8.605037,8.222796,06:39
25,8.223258,8.223452,0.682000,0.000000,512.000000,8.562483,8.223451,06:35
26,8.153205,8.274123,0.677000,0.002000,536.500000,8.683649,8.274123,05:59
27,8.132868,8.243874,0.679000,0.003000,564.000000,8.839547,8.243875,06:38
28,8.125885,8.246423,0.688000,0.002000,511.500000,8.586968,8.246423,06:01
29,8.183797,8.243060,0.679000,0.000000,604.500000,8.998011,8.243059,06:17
30,8.146270,8.270876,0.694000,0.000000,530.000000,8.677814,8.270876,05:58
31,8.082427,8.193891,0.679000,0.000000,597.250000,8.999742,8.193892,06:01
32,8.053930,8.207309,0.692000,0.001000,577.500000,8.904456,8.207308,05:58
33,8.044784,8.162591,0.691000,0.003000,568.250000,8.874883,8.162591,06:15
34,8.084283,8.174204,0.699000,0.001000,564.750000,8.830845,8.174204,06:26
35,8.094419,8.195723,0.696000,0.000000,570.750000,8.889580,8.195723,06:29
36,8.009719,8.188237,0.689000,0.000000,538.000000,8.713799,8.188237,06:14
37,8.030706,8.045753,0.710000,0.004000,546.250000,8.801996,8.045753,06:06
38,8.104108,8.137892,0.684000,0.002000,593.750000,9.010453,8.137891,06:25
39,8.036417,8.122593,0.688000,0.001000,567.500000,8.868925,8.122594,06:00
40,7.992980,8.090919,0.698000,0.001000,653.750000,9.229136,8.090919,06:08
41,8.021052,8.099979,0.707000,0.001000,635.500000,9.184614,8.099978,06:21
42,7.944254,8.145470,0.694000,0.001000,623.750000,9.148450,8.145469,06:31
43,7.986145,8.060760,0.710000,0.001000,613.750000,9.103645,8.060759,06:35
44,7.999828,8.059485,0.700000,0.001000,589.250000,8.995935,8.059486,06:19
45,7.945668,8.065422,0.711000,0.001000,600.000000,9.043391,8.065423,05:57
46,7.978509,8.092010,0.708000,0.001000,559.500000,8.838367,8.092010,06:03
47,7.958308,8.052154,0.701000,0.000000,589.500000,8.935233,8.052153,06:22
48,7.934175,8.059687,0.701000,0.000000,605.000000,9.043896,8.059688,06:23
49,7.936922,8.039137,0.699000,0.003000,637.250000,9.168649,8.039136,06:27
50,7.882684,7.967772,0.702000,0.004000,583.750000,8.945255,7.967772,06:30
51,7.931622,7.969283,0.693000,0.002000,571.500000,8.877491,7.969284,06:29
52,7.946928,8.020487,0.703000,0.003000,586.750000,8.957146,8.020487,06:35
53,7.881646,8.015635,0.695000,0.002000,603.000000,8.962871,8.015634,06:31
54,7.870042,8.023552,0.703000,0.002000,596.500000,8.986460,8.023552,06:35
55,7.869993,7.923783,0.708000,0.001000,626.500000,9.132393,7.923781,06:44
56,7.829744,8.025205,0.696000,0.004000,628.000000,9.132330,8.025206,06:17
57,7.787292,7.974298,0.704000,0.001000,606.500000,8.997561,7.974298,06:09
58,7.848132,8.017939,0.711000,0.002000,581.250000,8.906715,8.017939,06:29
59,7.907763,7.948120,0.689000,0.002000,608.000000,9.035493,7.948120,06:33
60,7.823054,8.042710,0.710000,0.003000,594.750000,8.982594,8.042708,06:11
61,7.786090,7.950334,0.708000,0.002000,588.750000,8.920864,7.950335,06:14
62,7.770936,7.882515,0.708000,0.000000,601.250000,8.960316,7.882515,06:03
63,7.877080,7.970327,0.696000,0.002000,609.750000,9.005651,7.970325,06:04
64,7.827713,7.920756,0.695000,0.002000,599.250000,8.970703,7.920758,06:06
65,7.796294,7.955694,0.704000,0.005000,586.000000,8.940414,7.955695,05:57
66,7.745082,7.917734,0.709000,0.000000,589.250000,8.946011,7.917736,06:06
67,7.816092,7.835856,0.708000,0.005000,583.500000,8.915598,7.835857,06:24
68,7.759951,7.839422,0.704000,0.004000,567.750000,8.860852,7.839423,06:06
69,7.727845,7.847347,0.696000,0.001000,553.500000,8.791939,7.847347,06:08
70,7.764752,7.774806,0.708000,0.003000,561.500000,8.799453,7.774806,05:56
71,7.651588,7.778053,0.707000,0.004000,556.500000,8.783346,7.778051,06:02
72,7.698673,7.802676,0.703000,0.002000,573.000000,8.828749,7.802677,06:30
73,7.693202,7.852778,0.701000,0.002000,564.750000,8.823408,7.852779,06:32
74,7.729996,7.786017,0.712000,0.007000,564.000000,8.814034,7.786018,06:13
75,7.661200,7.773066,0.722000,0.004000,563.250000,8.803023,7.773065,06:15
76,7.697552,7.774019,0.712000,0.005000,571.250000,8.868997,7.774019,05:56
77,7.675409,7.795836,0.721000,0.000000,554.000000,8.782675,7.795835,05:48
78,7.571550,7.754570,0.732000,0.003000,575.750000,8.850853,7.754570,06:02
79,7.619545,7.756721,0.724000,0.005000,576.000000,8.834206,7.756721,06:14
80,7.560549,7.673980,0.717000,0.004000,599.250000,8.996900,7.673980,06:01
81,7.602855,7.747833,0.719000,0.004000,571.750000,8.880898,7.747834,05:49
82,7.573800,7.668173,0.720000,0.004000,554.500000,8.768600,7.668174,05:55
83,7.526595,7.588187,0.716000,0.006000,562.750000,8.798042,7.588188,06:00
84,7.545980,7.621261,0.719000,0.004000,564.000000,8.846638,7.621259,06:17
85,7.577084,7.660038,0.727000,0.005000,542.750000,8.722035,7.660037,06:18
86,7.611880,7.573651,0.717000,0.003000,552.500000,8.803720,7.573652,06:29
87,7.560455,7.630985,0.733000,0.005000,568.250000,8.863234,7.630985,06:21
88,7.545444,7.649820,0.718000,0.003000,559.250000,8.795203,7.649820,06:15
89,7.597689,7.616227,0.717000,0.007000,561.500000,8.808400,7.616227,06:15
90,7.481021,7.616508,0.710000,0.003000,564.750000,8.827409,7.616508,06:27
91,7.489276,7.546479,0.725000,0.012000,556.750000,8.785173,7.546479,06:43
92,7.454712,7.596566,0.733000,0.004000,567.750000,8.792629,7.596567,06:38
93,7.419005,7.565259,0.722000,0.005000,562.000000,8.789835,7.565259,06:33
94,7.451428,7.594640,0.734000,0.011000,577.500000,8.843246,7.594641,06:32
95,7.535627,7.638781,0.735000,0.004000,584.500000,8.897208,7.638780,06:32
96,7.526695,7.549387,0.726000,0.006000,574.000000,8.908195,7.549388,06:26
97,7.437756,7.547711,0.728000,0.004000,558.750000,8.779430,7.547712,06:31
98,7.394028,7.538343,0.736000,0.009000,555.500000,8.758307,7.538343,06:31
99,7.420558,7.540209,0.733000,0.006000,569.000000,8.796425,7.540209,06:14
100,7.432510,7.545496,0.726000,0.006000,561.500000,8.753654,7.545496,06:26
101,7.430937,7.504793,0.727000,0.008000,571.000000,8.814173,7.504793,06:46
102,7.386316,7.487638,0.737000,0.007000,549.500000,8.776237,7.487638,06:29
103,7.348143,7.497154,0.724000,0.009000,542.000000,8.756662,7.497155,06:37
104,7.323199,7.470192,0.727000,0.009000,555.000000,8.772398,7.470193,06:28
105,7.312812,7.488864,0.730000,0.003000,560.000000,8.836432,7.488863,06:41
106,7.364640,7.438612,0.722000,0.004000,554.250000,8.752748,7.438613,06:18
107,7.410305,7.535409,0.720000,0.007000,551.000000,8.752796,7.535410,06:24
108,7.333892,7.497986,0.710000,0.005000,554.250000,8.716002,7.497986,06:48
109,7.374069,7.486876,0.723000,0.010000,562.750000,8.795577,7.486876,06:44
110,7.330036,7.418358,0.742000,0.010000,560.250000,8.820808,7.418357,06:45
111,7.394004,7.456394,0.728000,0.009000,563.500000,8.781390,7.456394,06:39
112,7.227478,7.452165,0.727000,0.007000,555.250000,8.731812,7.452166,06:33
113,7.318048,7.426031,0.745000,0.011000,547.750000,8.740721,7.426032,06:03
114,7.366155,7.460843,0.726000,0.005000,547.750000,8.738576,7.460842,06:08
115,7.333331,7.445402,0.727000,0.009000,556.250000,8.755030,7.445401,06:24
116,7.367779,7.395464,0.738000,0.013000,565.750000,8.779573,7.395463,06:22
117,7.351837,7.437099,0.729000,0.008000,577.000000,8.862504,7.437099,06:38
118,7.238733,7.452784,0.726000,0.010000,564.000000,8.785146,7.452785,05:57
119,7.289079,7.448207,0.734000,0.008000,587.500000,8.871017,7.448207,05:55
120,7.328826,7.363540,0.739000,0.012000,576.750000,8.798808,7.363540,05:59
121,7.276709,7.453635,0.727000,0.009000,559.000000,8.764879,7.453634,06:10
122,7.261072,7.402337,0.733000,0.009000,560.750000,8.748278,7.402337,06:16
123,7.340212,7.427643,0.725000,0.014000,556.000000,8.738175,7.427644,06:30
124,7.266666,7.409795,0.732000,0.010000,563.000000,8.790549,7.409795,06:18
125,7.220498,7.379461,0.733000,0.008000,569.250000,8.796060,7.379460,06:24
126,7.287491,7.379869,0.724000,0.010000,565.500000,8.754018,7.379869,06:26
127,7.271752,7.327558,0.732000,0.016000,561.250000,8.758744,7.327557,06:12
128,7.239714,7.335226,0.735000,0.010000,560.750000,8.739601,7.335225,06:04
129,7.145164,7.316119,0.737000,0.012000,580.000000,8.831816,7.316120,06:03
130,7.235728,7.306672,0.740000,0.014000,568.500000,8.775152,7.306673,06:07
131,7.133527,7.298158,0.721000,0.013000,560.750000,8.751566,7.298157,06:22
132,7.151359,7.337248,0.736000,0.013000,565.250000,8.753586,7.337249,06:31
133,7.134264,7.295430,0.732000,0.012000,555.500000,8.767738,7.295430,06:59
134,7.190046,7.282813,0.710000,0.011000,556.750000,8.715641,7.282814,06:25
135,7.234111,7.268005,0.720000,0.011000,560.500000,8.748669,7.268006,06:15
136,7.271685,7.242668,0.724000,0.007000,569.000000,8.774515,7.242667,06:08
137,7.181564,7.297294,0.732000,0.012000,567.750000,8.782206,7.297293,06:16
138,7.222866,7.336695,0.729000,0.010000,579.750000,8.817455,7.336694,06:12
139,7.237833,7.298380,0.741000,0.012000,570.500000,8.773046,7.298381,06:11
140,7.208951,7.306525,0.728000,0.014000,576.500000,8.795588,7.306525,05:52
141,7.083056,7.341517,0.724000,0.013000,571.250000,8.789600,7.341516,05:51
142,7.301257,7.323506,0.733000,0.011000,583.500000,8.834146,7.323506,05:46
143,7.198249,7.228961,0.729000,0.019000,573.750000,8.803255,7.228961,05:47
144,7.159190,7.253276,0.737000,0.017000,579.250000,8.831108,7.253275,05:44
145,7.174332,7.197335,0.724000,0.019000,580.500000,8.800568,7.197336,05:50
146,7.187884,7.293302,0.713000,0.008000,579.250000,8.812079,7.293302,05:59
147,7.124596,7.272498,0.728000,0.006000,578.750000,8.799387,7.272499,06:11
148,7.153492,7.217854,0.728000,0.017000,572.000000,8.752994,7.217854,06:10
149,7.119207,7.208075,0.729000,0.017000,576.500000,8.792486,7.208076,06:00
150,7.102230,7.171043,0.742000,0.018000,570.500000,8.799758,7.171042,05:49
151,7.144202,7.312058,0.727000,0.013000,597.250000,8.927444,7.312058,05:01
152,7.073954,7.260982,0.740000,0.013000,602.500000,8.953258,7.260981,04:55
153,7.089185,7.279912,0.728000,0.011000,601.750000,8.938543,7.279912,05:04
154,7.149893,7.181709,0.719000,0.017000,586.000000,8.849858,7.181708,05:00
155,7.019518,7.198656,0.735000,0.018000,590.750000,8.857548,7.198656,05:09
156,7.184186,7.240980,0.718000,0.013000,600.750000,8.935137,7.240981,04:57
157,7.144837,7.178047,0.723000,0.024000,596.750000,8.881417,7.178046,05:06
158,7.030404,7.283637,0.713000,0.013000,601.750000,8.937023,7.283637,05:11
159,7.125321,7.239834,0.725000,0.011000,592.750000,8.897293,7.239834,05:14
160,7.059630,7.179263,0.732000,0.011000,595.250000,8.883451,7.179263,05:03
161,7.056042,7.269808,0.732000,0.017000,605.750000,8.952173,7.269807,04:50
162,6.990351,7.277248,0.736000,0.014000,602.250000,8.922773,7.277248,05:07
