epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,7.121359,7.152056,0.584000,0.056000,476.750000,8.366093,7.152057,06:31
1,6.198088,6.560611,0.627000,0.086000,503.250000,8.536942,6.560612,06:29
2,5.888159,5.943223,0.619000,0.135000,497.250000,8.416161,5.943222,06:17
3,5.341006,5.613952,0.660000,0.190000,508.250000,8.317034,5.613951,06:09
4,5.165999,5.324699,0.651000,0.234000,479.500000,8.001426,5.324700,06:28
5,5.067543,5.185034,0.656000,0.261000,465.250000,8.055265,5.185034,06:22
6,4.782239,5.033641,0.656000,0.290000,473.250000,7.936302,5.033641,06:09
7,4.785642,4.949646,0.663000,0.312000,456.000000,7.898442,4.949646,06:21
8,4.482396,4.768007,0.676000,0.310000,441.750000,7.697337,4.768007,06:09
9,4.496236,4.680906,0.684000,0.339000,462.250000,7.973073,4.680906,06:13
10,4.489014,4.656788,0.684000,0.347000,440.250000,7.752273,4.656787,06:04
11,4.261802,4.609422,0.685000,0.329000,423.500000,7.568579,4.609421,06:11
12,4.273091,4.437909,0.704000,0.348000,440.500000,7.650260,4.437909,06:02
13,4.209693,4.420908,0.693000,0.364000,439.750000,7.623294,4.420908,06:14
14,4.210084,4.395254,0.704000,0.366000,428.000000,7.598261,4.395255,06:05
15,4.032987,4.330802,0.696000,0.378000,430.500000,7.548054,4.330802,06:12
16,3.912780,4.230514,0.704000,0.403000,432.000000,7.651670,4.230513,06:09
17,3.974691,4.215286,0.722000,0.399000,435.000000,7.651951,4.215286,06:11
18,3.865474,4.360218,0.692000,0.395000,457.000000,7.774650,4.360219,06:01
19,4.065119,4.180079,0.700000,0.402000,438.000000,7.574198,4.180079,06:17
20,3.886260,4.220037,0.700000,0.399000,436.750000,7.574418,4.220037,06:16
21,4.020405,4.180427,0.708000,0.410000,448.250000,7.626731,4.180426,06:12
22,3.787149,4.124484,0.707000,0.418000,428.750000,7.488066,4.124483,06:17
23,3.719278,4.142541,0.712000,0.398000,456.750000,7.713146,4.142541,06:18
24,3.947843,4.131270,0.709000,0.415000,429.500000,7.452120,4.131271,06:13
25,3.822638,3.905201,0.712000,0.427000,452.250000,7.682151,3.905201,06:12
26,3.891953,3.973133,0.719000,0.433000,427.000000,7.346718,3.973133,06:10
27,3.770839,3.998510,0.720000,0.436000,445.250000,7.559991,3.998510,06:20
28,3.797476,4.023201,0.706000,0.419000,432.000000,7.448012,4.023201,06:32
29,4.049814,3.992550,0.718000,0.452000,451.000000,7.473444,3.992549,06:33
30,3.653964,3.920707,0.710000,0.438000,448.500000,7.653124,3.920707,06:35
31,3.692959,3.940588,0.720000,0.451000,464.500000,7.630040,3.940588,06:36
32,3.684370,3.912380,0.712000,0.450000,429.500000,7.489937,3.912381,06:34
33,3.699373,3.939023,0.715000,0.447000,446.250000,7.672615,3.939023,06:33
34,3.659290,3.844903,0.725000,0.460000,444.000000,7.556635,3.844903,06:11
35,3.672359,3.912204,0.704000,0.436000,465.250000,7.581636,3.912204,06:11
36,3.620425,3.867551,0.723000,0.457000,463.000000,7.801291,3.867551,05:59
37,3.523206,3.880869,0.713000,0.473000,449.000000,7.506877,3.880869,05:50
38,3.575347,3.825640,0.719000,0.469000,451.000000,7.587665,3.825640,06:00
39,3.622253,3.877283,0.718000,0.461000,436.000000,7.523294,3.877284,05:59
40,3.682114,3.769436,0.726000,0.468000,442.500000,7.452213,3.769436,06:00
41,3.520333,3.824549,0.719000,0.467000,483.000000,7.705953,3.824549,06:09
42,3.552317,3.735954,0.724000,0.470000,455.750000,7.581899,3.735954,06:04
43,3.498804,3.811103,0.736000,0.461000,445.750000,7.510111,3.811102,06:10
44,3.601611,3.875556,0.725000,0.476000,440.500000,7.410879,3.875556,06:05
45,3.455918,3.802115,0.733000,0.475000,468.250000,7.742776,3.802115,06:05
46,3.579443,3.754762,0.733000,0.470000,500.750000,7.787131,3.754762,06:08
47,3.436206,3.725666,0.736000,0.470000,437.000000,7.469300,3.725666,06:04
48,3.567718,3.755025,0.723000,0.474000,469.500000,7.706091,3.755026,06:03
49,3.526131,3.772643,0.732000,0.465000,468.250000,7.616600,3.772643,06:01
50,3.644087,3.780697,0.727000,0.469000,475.250000,7.673428,3.780696,06:07
51,3.492662,3.696540,0.725000,0.458000,433.750000,7.418447,3.696541,06:03
52,3.394850,3.651597,0.737000,0.480000,458.500000,7.700815,3.651598,06:03
53,3.541790,3.696927,0.732000,0.464000,456.750000,7.577195,3.696927,06:07
54,3.543036,3.695297,0.723000,0.474000,460.500000,7.629874,3.695298,06:20
55,3.233246,3.657113,0.730000,0.481000,491.000000,7.716085,3.657113,06:06
56,3.404128,3.713657,0.707000,0.471000,480.750000,7.787135,3.713657,06:09
57,3.641040,3.660946,0.727000,0.494000,469.500000,7.643322,3.660946,06:03
58,3.549415,3.741693,0.729000,0.489000,480.250000,7.672707,3.741693,05:37
59,3.535199,3.578271,0.740000,0.490000,418.500000,7.234690,3.578271,05:04
