epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,7.298675,7.594765,0.819000,0.038000,542.250000,8.491962,7.594765,05:09
1,7.342083,7.580375,0.814000,0.041000,555.250000,8.543661,7.580374,04:33
2,7.243915,7.577012,0.821000,0.043000,555.000000,8.584062,7.577010,04:56
3,7.270972,7.560483,0.820000,0.043000,553.750000,8.574951,7.560484,04:34
4,7.178253,7.558384,0.821000,0.041000,531.250000,8.388308,7.558384,04:53
5,7.278341,7.543955,0.816000,0.044000,540.750000,8.512690,7.543954,04:32
6,7.220878,7.539833,0.816000,0.046000,558.750000,8.671448,7.539832,04:47
7,7.208007,7.533786,0.821000,0.046000,596.750000,8.816120,7.533786,04:43
8,7.238741,7.517960,0.817000,0.045000,563.250000,8.596776,7.517960,04:38
9,7.173296,7.510027,0.824000,0.049000,575.750000,8.703923,7.510027,04:33
10,7.318349,7.499967,0.812000,0.048000,606.000000,8.893586,7.499967,04:33
11,7.096300,7.500916,0.823000,0.044000,578.750000,8.733703,7.500916,04:40
12,7.202141,7.490307,0.820000,0.047000,577.500000,8.736990,7.490305,04:42
13,7.141451,7.492623,0.823000,0.051000,558.250000,8.579725,7.492624,04:51
14,7.242784,7.489446,0.820000,0.050000,583.000000,8.767603,7.489447,04:31
15,7.241210,7.480426,0.820000,0.049000,581.750000,8.727148,7.480425,04:47
16,7.134348,7.468473,0.812000,0.050000,587.500000,8.839491,7.468473,04:38
17,7.168770,7.470104,0.818000,0.053000,596.000000,8.826082,7.470104,04:51
18,7.258567,7.455947,0.816000,0.053000,558.250000,8.656041,7.455946,04:29
19,7.083756,7.454882,0.814000,0.055000,542.000000,8.449663,7.454882,04:44
20,7.149982,7.437700,0.818000,0.055000,575.750000,8.768179,7.437699,04:27
21,6.999866,7.427197,0.820000,0.055000,544.750000,8.473777,7.427197,04:37
22,7.132658,7.421499,0.815000,0.058000,589.000000,8.785955,7.421498,04:30
23,7.056665,7.420454,0.807000,0.058000,573.000000,8.679344,7.420453,04:48
24,7.088494,7.403282,0.813000,0.056000,584.250000,8.815996,7.403282,04:26
25,7.057845,7.411762,0.816000,0.055000,557.000000,8.562230,7.411761,05:09
26,7.002008,7.407381,0.810000,0.057000,568.250000,8.700478,7.407381,04:30
27,7.169356,7.401042,0.814000,0.054000,600.000000,8.876181,7.401042,04:45
28,7.055320,7.402827,0.807000,0.056000,577.250000,8.768774,7.402825,04:32
29,7.145938,7.379902,0.813000,0.060000,574.500000,8.703073,7.379904,04:49
30,7.063035,7.382004,0.814000,0.057000,544.750000,8.535713,7.382004,04:28
31,7.080490,7.378969,0.813000,0.058000,551.000000,8.588142,7.378969,04:43
32,7.077035,7.374159,0.806000,0.059000,574.250000,8.741240,7.374159,04:37
33,7.062227,7.372073,0.813000,0.059000,558.500000,8.643589,7.372072,04:47
34,7.053597,7.362171,0.807000,0.064000,555.000000,8.618910,7.362172,04:45
35,7.089457,7.358358,0.814000,0.060000,580.750000,8.733526,7.358358,04:50
36,7.140100,7.361195,0.818000,0.060000,553.250000,8.545665,7.361197,04:44
37,6.952312,7.346808,0.814000,0.060000,545.000000,8.478979,7.346807,04:51
38,7.037733,7.343603,0.811000,0.065000,561.250000,8.655487,7.343603,05:02
39,6.953803,7.337866,0.811000,0.060000,531.750000,8.418347,7.337866,04:36
40,7.060761,7.328897,0.810000,0.063000,583.500000,8.806293,7.328896,05:10
41,7.008291,7.332273,0.809000,0.063000,575.000000,8.716997,7.332273,04:41
42,6.968268,7.330918,0.810000,0.061000,577.500000,8.747121,7.330918,05:04
43,6.991468,7.328405,0.807000,0.063000,583.250000,8.791510,7.328405,04:31
44,6.926165,7.317498,0.807000,0.063000,587.000000,8.800571,7.317498,05:12
45,7.001064,7.308776,0.803000,0.063000,592.250000,8.863079,7.308776,04:38
46,7.042338,7.317728,0.809000,0.065000,530.000000,8.448322,7.317729,04:41
47,7.052979,7.307570,0.807000,0.068000,511.750000,8.304032,7.307570,04:45
48,7.028955,7.299078,0.811000,0.064000,538.250000,8.420988,7.299078,05:02
49,6.980869,7.296460,0.805000,0.064000,522.500000,8.403511,7.296461,04:39
50,7.015012,7.301634,0.805000,0.067000,553.750000,8.545315,7.301635,04:48
