epoch,train_loss,valid_loss,validation,div_metric,entropy,fool_loss,div_loss,time
0,0.280070,0.285941,0.978000,700.750000,9.480298,0.015690,0.270252,05:04
1,0.240387,0.239074,0.984000,44.250000,3.914255,0.008051,0.231024,05:04
2,0.172050,0.180587,0.987000,34.250000,3.779123,0.011521,0.169066,05:02
3,0.161008,0.200049,0.986000,37.750000,3.989129,0.010213,0.189837,05:06
4,0.138576,0.178787,0.989000,23.000000,3.402374,0.008435,0.170352,05:05
5,0.155363,0.179931,0.992000,28.500000,3.817465,0.013243,0.166688,05:06
6,0.150508,0.155405,0.991000,33.000000,4.187561,0.011507,0.143897,05:03
7,0.160191,0.157171,0.987000,21.000000,3.843366,0.012028,0.145143,05:04
8,0.148843,0.163326,0.993000,32.250000,4.012866,0.007071,0.156255,05:04
9,0.124436,0.150037,0.991000,28.750000,3.906847,0.011894,0.138143,05:05
10,0.130723,0.135703,0.996000,16.250000,3.221371,0.005584,0.130119,05:06
11,0.112129,0.138381,0.998000,13.500000,3.386271,0.003881,0.134501,05:04
12,0.126833,0.161947,0.996000,14.250000,3.577262,0.003794,0.158153,05:04
13,0.117850,0.142557,0.995000,10.500000,3.181903,0.005203,0.137354,05:04
14,0.128517,0.155805,0.995000,10.500000,3.126800,0.006597,0.149208,05:05
15,0.115302,0.138825,0.992000,11.750000,3.369824,0.005380,0.133445,04:28
16,0.106664,0.126503,0.998000,10.750000,3.421417,0.003720,0.122783,04:18
17,0.113699,0.117815,0.995000,10.000000,3.095590,0.005396,0.112419,04:14
18,0.116004,0.124891,0.994000,9.750000,3.306448,0.006951,0.117940,04:09
19,0.093033,0.116957,0.995000,10.750000,3.373803,0.006898,0.110059,04:03
20,0.102067,0.113189,0.997000,8.750000,3.107109,0.002083,0.111106,04:02
21,0.091600,0.114904,0.998000,9.000000,3.134560,0.002988,0.111917,04:11
22,0.091683,0.125816,0.997000,10.000000,3.356122,0.004589,0.121227,04:03
23,0.077121,0.093689,0.999000,8.750000,3.099684,0.002069,0.091619,04:13
24,0.089382,0.108963,0.996000,10.250000,3.325336,0.003805,0.105158,04:04
25,0.107423,0.132670,0.996000,9.250000,3.185657,0.003996,0.128674,04:10
26,0.094180,0.095796,0.997000,7.500000,2.984314,0.002941,0.092855,04:12
27,0.089582,0.118189,0.999000,9.500000,3.258440,0.002121,0.116067,04:03
28,0.084143,0.099941,0.998000,9.000000,3.158608,0.002099,0.097842,04:07
29,0.085689,0.104832,0.997000,9.000000,3.159539,0.002196,0.102636,04:11
