epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss_1,time
0,8.340304,8.473358,0.332000,0.802363,0.918345,6.752649,07:46
1,8.103330,8.139172,0.359000,0.763231,0.835236,6.540705,07:47
2,8.107210,8.076465,0.331000,0.817248,0.825495,6.433722,07:46
3,7.950804,7.913714,0.415000,0.667172,0.812211,6.434330,07:47
4,8.032742,8.042278,0.407000,0.668483,0.858050,6.515746,07:46
5,8.040623,8.087188,0.427000,0.671831,0.876122,6.539235,07:48
6,7.900743,7.965732,0.394000,0.687963,0.801260,6.476508,07:46
7,7.672639,7.718662,0.401000,0.698435,0.756713,6.263514,07:46
8,7.915207,7.814453,0.454000,0.632662,0.788120,6.393670,07:47
9,7.588666,7.741205,0.324000,0.883385,0.695518,6.162301,07:46
10,7.278666,7.129226,0.424000,0.693290,0.676926,5.759012,07:47
11,6.937339,6.892868,0.535000,0.527941,0.623435,5.741493,07:47
12,6.768600,6.626337,0.583000,0.442271,0.580904,5.603162,07:47
13,6.542983,6.721983,0.535000,0.509712,0.611597,5.600672,07:46
14,6.568320,6.609908,0.618000,0.409841,0.596060,5.604005,07:47
15,6.520320,6.395832,0.546000,0.486802,0.538299,5.370731,07:47
16,6.351827,6.669709,0.448000,0.672304,0.558044,5.439360,07:47
17,6.450816,6.353005,0.577000,0.438749,0.578434,5.335823,07:47
18,6.053717,6.419971,0.490000,0.574678,0.530175,5.315119,07:46
19,6.244576,6.228829,0.580000,0.458158,0.510642,5.260029,07:48
20,6.132459,6.098622,0.696000,0.302907,0.522578,5.273138,07:47
21,6.416927,6.508012,0.613000,0.385203,0.617776,5.505033,07:47
22,6.005334,5.953866,0.654000,0.341629,0.513623,5.098615,07:46
23,6.032807,6.159720,0.593000,0.436952,0.523542,5.199225,07:47
24,6.086082,5.932843,0.661000,0.331164,0.482721,5.118960,07:44
25,5.979712,6.115576,0.643000,0.364152,0.510004,5.241420,07:47
26,5.843373,6.035450,0.649000,0.349722,0.516092,5.169636,07:47
27,5.837919,5.921583,0.640000,0.374509,0.505652,5.041423,07:49
28,5.753295,5.718530,0.689000,0.311388,0.471346,4.935796,07:49
29,6.017845,5.984314,0.669000,0.332454,0.488074,5.163786,07:46
30,6.005528,6.207641,0.534000,0.522907,0.502816,5.181917,07:47
31,6.052810,5.840154,0.644000,0.375482,0.492984,4.971686,07:47
32,6.205209,6.249609,0.672000,0.322774,0.538217,5.388618,07:47
33,6.081200,5.949544,0.689000,0.313881,0.475433,5.160231,07:48
34,5.912834,5.865370,0.717000,0.273542,0.486071,5.105756,07:48
35,5.931029,6.127571,0.660000,0.340602,0.518305,5.268664,07:45
36,6.100790,5.886743,0.650000,0.343276,0.488329,5.055137,07:48
37,6.406001,5.887682,0.663000,0.332785,0.507868,5.047027,07:48
38,6.012319,5.892250,0.683000,0.315406,0.507482,5.069362,07:48
39,6.210001,6.258812,0.585000,0.415640,0.535428,5.307744,07:48
40,5.926105,5.963624,0.661000,0.333636,0.489619,5.140369,07:31
41,6.080742,6.088677,0.675000,0.308611,0.532086,5.247981,07:15
42,6.098719,6.182692,0.641000,0.352649,0.549934,5.280110,07:15
43,6.144239,5.929717,0.670000,0.317519,0.494200,5.118000,07:15
44,5.932119,5.895504,0.705000,0.277825,0.491883,5.125797,07:15
45,6.545878,7.536125,0.308000,0.936480,0.678461,5.921184,07:15
46,5.807439,5.826836,0.730000,0.256326,0.490060,5.080452,07:15
47,6.014076,5.978147,0.685000,0.304642,0.468406,5.205100,07:15
48,6.129827,6.441974,0.468000,0.610335,0.545627,5.286012,07:15
49,6.273211,5.992329,0.732000,0.258591,0.542404,5.191332,07:15
