epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,4.061092,4.006565,0.413000,1.507920,0.999458,03:32
1,2.980129,2.994333,0.549000,1.166234,0.731240,03:33
2,2.244384,2.304606,0.736000,0.597115,0.682996,03:34
3,2.189454,2.189992,0.717000,0.657080,0.613165,03:36
4,2.112684,2.175915,0.709000,0.684011,0.596761,03:37
5,1.846173,2.066100,0.723000,0.632700,0.573360,03:33
6,1.841482,2.033660,0.719000,0.720403,0.525303,03:33
7,1.836272,1.970350,0.717000,0.633005,0.534938,03:33
8,1.851774,1.976152,0.708000,0.703458,0.509078,03:33
9,1.818035,1.857631,0.733000,0.621167,0.494586,03:32
10,1.768723,1.863527,0.722000,0.630168,0.493344,03:33
11,1.807798,1.869267,0.730000,0.635077,0.493676,03:32
12,1.710487,1.898620,0.733000,0.651525,0.498838,03:34
13,1.703971,1.902491,0.734000,0.594983,0.523003,03:33
14,1.664087,1.866676,0.746000,0.599119,0.507023,03:33
15,1.675097,1.876334,0.740000,0.568426,0.523163,03:33
16,1.642542,1.837279,0.735000,0.651046,0.474493,03:32
17,1.688087,1.870917,0.734000,0.614408,0.502603,03:30
18,1.647236,1.761858,0.750000,0.560236,0.480649,03:32
19,1.581924,1.724108,0.745000,0.539873,0.473694,03:32
20,1.603643,1.786727,0.736000,0.575155,0.484629,03:33
21,1.594867,1.723735,0.772000,0.577774,0.458385,03:32
22,1.569712,1.738596,0.746000,0.579499,0.463639,03:32
23,1.519995,1.699826,0.740000,0.586677,0.445260,03:39
24,1.519777,1.711155,0.756000,0.555107,0.462419,03:41
25,1.628057,1.701348,0.748000,0.568082,0.453306,03:40
26,1.605242,1.721153,0.757000,0.514883,0.482508,03:40
27,1.520880,1.671743,0.750000,0.540872,0.452348,03:40
28,1.553997,1.680236,0.746000,0.562539,0.447079,03:41
29,1.483544,1.751124,0.759000,0.572120,0.471602,03:40
