epoch,train_loss,valid_loss,validation,fool_loss,time
0,10.662643,10.826511,0.651000,10.826511,03:38
1,10.174634,10.437336,0.690000,10.437336,03:39
2,9.940562,10.293086,0.698000,10.293086,03:40
3,9.901062,10.155865,0.713000,10.155865,03:38
4,9.833226,10.025577,0.737000,10.025578,03:38
5,9.622315,9.868284,0.728000,9.868285,03:38
6,9.605887,9.944659,0.722000,9.944660,03:38
7,9.499845,9.716791,0.728000,9.716791,03:36
8,9.339716,9.686111,0.719000,9.686111,03:36
9,9.422671,9.654359,0.745000,9.654360,03:35
10,9.372003,9.450611,0.731000,9.450610,03:35
11,9.286997,9.545547,0.731000,9.545547,03:34
12,9.150011,9.408327,0.737000,9.408329,03:33
13,9.093184,9.373389,0.753000,9.373389,03:34
14,8.942369,9.130101,0.753000,9.130099,03:32
15,8.931073,9.048900,0.747000,9.048901,03:41
16,8.797100,9.006325,0.754000,9.006326,03:34
17,8.852816,9.070232,0.742000,9.070232,03:34
18,8.769190,9.014475,0.739000,9.014476,03:33
19,8.833007,8.992951,0.735000,8.992950,03:33
20,8.621146,8.992130,0.738000,8.992129,03:35
21,8.659866,8.893578,0.742000,8.893578,03:33
22,8.499533,8.759490,0.752000,8.759491,03:33
23,8.473045,8.701319,0.747000,8.701319,03:35
24,8.426456,8.700275,0.751000,8.700275,03:35
25,8.406555,8.685615,0.764000,8.685614,03:32
26,8.366254,8.612098,0.755000,8.612099,03:34
27,8.374907,8.584072,0.759000,8.584071,03:34
28,8.346245,8.445375,0.756000,8.445376,03:44
29,8.292491,8.497866,0.743000,8.497867,03:45
30,8.216346,8.418066,0.751000,8.418067,03:46
31,8.158618,8.393732,0.752000,8.393731,03:46
32,8.059895,8.372275,0.742000,8.372276,03:45
33,8.044475,8.290092,0.753000,8.290092,03:45
34,8.115725,8.273440,0.750000,8.273439,03:45
35,8.089713,8.301847,0.750000,8.301847,03:44
36,7.932963,8.147779,0.758000,8.147781,03:46
37,7.952541,8.092543,0.748000,8.092541,03:45
38,8.006575,8.219275,0.750000,8.219276,03:45
39,7.820709,8.109403,0.747000,8.109404,03:46
40,7.907906,8.037303,0.758000,8.037302,03:44
41,7.957054,8.094067,0.762000,8.094065,03:45
42,7.856775,8.089619,0.747000,8.089619,03:47
43,7.912677,8.054314,0.759000,8.054314,03:45
44,7.833710,8.129468,0.749000,8.129469,03:45
45,7.756175,7.950905,0.760000,7.950907,03:46
46,7.773337,7.994889,0.747000,7.994890,03:46
47,7.709385,8.040909,0.753000,8.040910,03:46
48,7.638703,7.850386,0.768000,7.850386,03:45
49,7.677305,7.782983,0.755000,7.782984,03:44
50,7.516171,7.851967,0.749000,7.851969,03:41
51,7.615963,7.853105,0.758000,7.853106,03:44
52,7.602368,7.686003,0.765000,7.686004,03:45
53,7.630212,7.840557,0.753000,7.840558,03:44
54,7.525668,7.797497,0.757000,7.797497,03:44
55,7.725026,7.688908,0.753000,7.688909,03:38
56,7.288724,7.701391,0.766000,7.701392,03:33
57,7.410054,7.689884,0.766000,7.689884,03:31
58,7.431354,7.793995,0.752000,7.793994,03:43
59,7.344469,7.596659,0.759000,7.596659,03:44
60,7.431616,7.741651,0.756000,7.741650,03:44
61,7.246758,7.721484,0.759000,7.721483,03:44
62,7.309721,7.580176,0.758000,7.580176,03:44
63,7.486700,7.554040,0.752000,7.554040,03:44
64,7.455975,7.587160,0.765000,7.587159,03:46
65,7.484092,7.555902,0.765000,7.555902,03:45
66,7.184349,7.487278,0.745000,7.487277,03:45
67,7.396404,7.627365,0.757000,7.627365,03:44
68,7.274358,7.572592,0.758000,7.572593,03:45
69,7.257855,7.509912,0.754000,7.509911,03:45
70,7.112664,7.388956,0.765000,7.388957,03:45
71,7.157730,7.579005,0.759000,7.579006,03:45
72,7.316180,7.402504,0.769000,7.402503,03:44
73,7.120016,7.388426,0.756000,7.388425,03:43
74,6.993059,7.374218,0.754000,7.374218,03:32
75,7.160503,7.480702,0.760000,7.480701,03:42
76,7.175468,7.511373,0.752000,7.511374,03:33
77,7.175120,7.321020,0.746000,7.321021,03:32
78,7.027255,7.396703,0.751000,7.396703,03:31
79,7.132723,7.354223,0.754000,7.354221,03:31
80,7.168546,7.270825,0.757000,7.270826,03:33
81,7.209077,7.334314,0.746000,7.334314,03:32
82,7.112293,7.357445,0.758000,7.357444,03:31
83,7.076761,7.304475,0.763000,7.304475,03:32
84,7.148306,7.247257,0.761000,7.247259,03:32
85,7.037832,7.362920,0.759000,7.362920,03:33
86,6.805473,7.213466,0.754000,7.213466,03:32
87,6.995306,7.199577,0.763000,7.199577,03:33
88,6.975270,7.302570,0.763000,7.302569,03:31
89,6.959324,7.129675,0.761000,7.129675,03:33
90,7.007178,7.191431,0.763000,7.191430,03:32
91,7.073215,7.217741,0.752000,7.217741,03:33
92,6.802871,7.142604,0.761000,7.142605,03:34
93,6.872351,7.260369,0.767000,7.260370,03:32
94,6.988663,7.390139,0.763000,7.390140,03:32
95,6.839881,7.310464,0.753000,7.310464,03:32
96,6.955901,7.118218,0.763000,7.118217,03:33
97,6.653381,7.130744,0.748000,7.130744,03:33
98,6.758553,7.141932,0.758000,7.141932,03:33
99,7.005751,7.193903,0.756000,7.193905,03:32
