epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,16.145193,16.085720,0.235000,2.377460,13.708256,05:46
1,14.931884,14.960395,0.403000,1.676578,13.283817,05:45
2,14.272375,14.338673,0.444000,1.499052,12.839619,05:45
3,13.733830,13.849397,0.489000,1.405287,12.444114,05:45
4,13.571963,13.976085,0.525000,1.306013,12.670071,05:44
5,13.823467,13.884125,0.507000,1.363050,12.521076,05:46
6,13.715403,13.867507,0.522000,1.364349,12.503160,05:46
7,13.757431,14.007103,0.462000,1.541741,12.465364,05:46
8,13.568640,13.863913,0.546000,1.247760,12.616154,05:45
9,13.351795,13.454030,0.523000,1.318515,12.135514,05:46
10,13.540086,13.589535,0.563000,1.176057,12.413478,05:46
11,13.242999,13.235861,0.561000,1.278788,11.957070,05:45
12,12.884516,12.973939,0.542000,1.265965,11.707974,05:46
13,13.254671,13.220045,0.495000,1.375548,11.844495,05:46
14,13.019139,13.248125,0.498000,1.394563,11.853564,05:46
15,13.049960,13.114941,0.524000,1.299081,11.815860,05:46
16,12.747361,12.744526,0.567000,1.206803,11.537723,05:47
17,12.614901,12.640898,0.544000,1.261110,11.379789,05:47
18,12.632014,12.680778,0.526000,1.344596,11.336180,05:46
19,12.380994,12.243958,0.583000,1.143667,11.100293,05:46
20,12.019103,12.044037,0.614000,0.999149,11.044886,05:45
21,12.113490,12.087480,0.650000,0.939089,11.148393,05:46
22,11.806621,11.830638,0.604000,1.064741,10.765896,05:45
23,11.623181,11.558905,0.591000,1.155824,10.403081,05:46
24,11.695813,11.670103,0.611000,1.072909,10.597193,05:46
25,11.420604,11.718462,0.571000,1.244427,10.474035,05:45
26,11.762368,11.263521,0.659000,0.910942,10.352583,05:46
27,11.497210,11.460457,0.606000,1.047323,10.413137,05:45
28,11.136535,11.203209,0.647000,0.944257,10.258953,05:45
29,11.216309,11.326290,0.602000,1.118969,10.207320,05:46
30,11.256682,11.230009,0.643000,0.944069,10.285939,05:46
31,11.114064,11.066559,0.649000,0.946154,10.120403,05:45
32,11.083374,11.130865,0.663000,0.916162,10.214705,05:45
33,11.101713,11.068341,0.625000,1.025913,10.042427,05:46
34,10.905154,11.173375,0.642000,0.945908,10.227467,05:45
35,10.899507,10.653339,0.651000,0.847006,9.806337,05:45
36,11.008295,10.834814,0.679000,0.853510,9.981305,05:47
37,10.831780,10.866872,0.663000,0.958632,9.908240,05:45
38,10.627067,10.524986,0.691000,0.834454,9.690534,05:46
39,10.998845,11.057132,0.626000,1.022627,10.034505,05:45
