epoch,train_loss,valid_loss,validation,fool_loss,div_loss,time
0,0.552874,0.622514,0.788000,0.526487,0.960268,04:54
1,0.496879,0.565563,0.803000,0.465595,0.999688,05:11
2,0.496095,0.540965,0.819000,0.440997,0.999677,04:33
3,0.500881,0.506611,0.836000,0.406632,0.999787,04:25
4,0.396543,0.487252,0.846000,0.387273,0.999796,04:30
5,0.389941,0.455009,0.864000,0.355023,0.999861,04:31
6,0.327620,0.425858,0.870000,0.325867,0.999911,04:32
7,0.317506,0.384158,0.888000,0.284169,0.999891,04:30
8,0.314676,0.374758,0.890000,0.274765,0.999925,04:30
9,0.302979,0.371927,0.891000,0.271933,0.999937,04:30
10,0.307437,0.362114,0.896000,0.262121,0.999931,04:32
11,0.270952,0.356382,0.896000,0.256389,0.999936,04:29
12,0.300646,0.355957,0.892000,0.255963,0.999933,04:29
13,0.302734,0.358683,0.895000,0.258695,0.999885,04:33
14,0.260129,0.349420,0.900000,0.249428,0.999925,04:28
15,0.251216,0.345925,0.902000,0.245931,0.999940,04:31
16,0.259778,0.344729,0.902000,0.244735,0.999943,04:29
17,0.290785,0.339521,0.905000,0.239525,0.999961,04:30
18,0.250934,0.340079,0.902000,0.240084,0.999948,04:30
19,0.268783,0.340196,0.901000,0.240201,0.999948,04:25
20,0.274148,0.339138,0.902000,0.239143,0.999957,04:19
21,0.303712,0.340371,0.905000,0.240377,0.999942,04:18
22,0.281198,0.336512,0.903000,0.236518,0.999948,04:21
23,0.288432,0.336936,0.903000,0.236940,0.999966,04:18
24,0.257953,0.336519,0.901000,0.236524,0.999951,04:18
25,0.308835,0.335513,0.902000,0.235519,0.999943,04:18
26,0.260361,0.333310,0.904000,0.233314,0.999961,04:20
27,0.259302,0.331680,0.907000,0.231685,0.999954,04:18
28,0.270657,0.332077,0.910000,0.232081,0.999955,04:19
29,0.246791,0.327656,0.911000,0.227661,0.999953,04:20
30,0.278309,0.328852,0.909000,0.228857,0.999942,04:19
31,0.300460,0.332625,0.908000,0.232631,0.999936,04:19
32,0.247864,0.326504,0.913000,0.226508,0.999958,04:20
33,0.221530,0.326745,0.911000,0.226749,0.999957,04:20
34,0.262768,0.326197,0.911000,0.226202,0.999953,04:20
35,0.264880,0.326068,0.912000,0.226073,0.999944,04:19
36,0.246310,0.325514,0.911000,0.225521,0.999935,04:21
37,0.271910,0.326265,0.914000,0.226274,0.999905,04:12
38,0.235893,0.326370,0.913000,0.226380,0.999904,04:04
39,0.260854,0.322562,0.912000,0.222568,0.999933,04:03
