epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,8.931210,9.177155,0.734000,0.617220,0.459795,0.990496,05:59
1,8.742265,9.146235,0.735000,0.633763,0.470234,0.952532,05:59
2,8.585778,9.112842,0.738000,0.646925,0.464741,0.954626,05:58
3,8.466335,8.893450,0.744000,0.613944,0.440926,0.967562,05:58
4,8.407719,8.790483,0.740000,0.656994,0.422864,0.976213,05:58
5,8.024758,8.816353,0.765000,0.567215,0.441539,0.958436,05:57
6,8.094677,8.855222,0.752000,0.612825,0.430496,0.984360,06:00
7,8.218827,8.670458,0.757000,0.618554,0.430476,0.936786,06:02
8,8.102590,8.609605,0.775000,0.554078,0.431547,0.935014,06:02
9,8.047310,8.587502,0.743000,0.639399,0.409076,0.964337,06:02
10,8.063131,8.837718,0.773000,0.510247,0.443862,0.972213,06:02
11,7.915119,8.669095,0.770000,0.593898,0.423562,0.959893,06:02
12,7.881748,8.627408,0.781000,0.565778,0.421619,0.961359,06:02
13,7.784017,8.450418,0.772000,0.589293,0.392382,0.984327,06:02
14,7.635368,8.370600,0.782000,0.600690,0.407743,0.923121,06:02
15,7.999272,8.275294,0.744000,0.667663,0.383955,0.942020,06:02
16,7.920377,8.442223,0.787000,0.587824,0.397466,0.969936,06:02
17,7.775761,8.211533,0.779000,0.555564,0.386358,0.948096,06:02
18,7.960714,8.276916,0.765000,0.566533,0.391428,0.949026,06:02
19,7.770478,8.615783,0.781000,0.574031,0.428726,0.938622,06:02
20,7.946320,8.318463,0.749000,0.625709,0.393799,0.938691,06:02
21,7.536196,8.455357,0.772000,0.555446,0.409536,0.951139,06:02
22,7.560657,8.194407,0.762000,0.578803,0.383978,0.943956,06:01
23,7.879278,8.637792,0.787000,0.507048,0.436014,0.942651,06:02
24,7.802628,8.305951,0.756000,0.603715,0.392650,0.943933,06:02
25,7.547425,8.239087,0.774000,0.517184,0.398223,0.934918,06:01
26,7.666851,8.170609,0.769000,0.595684,0.373488,0.960012,06:02
27,7.821000,8.327989,0.778000,0.536237,0.389749,0.973565,06:02
28,7.436872,8.376354,0.793000,0.533606,0.410993,0.933204,06:02
29,7.408316,8.193732,0.777000,0.551658,0.387974,0.940584,06:02
30,7.524783,8.219866,0.799000,0.490155,0.399676,0.933238,06:01
31,7.619470,8.292160,0.792000,0.518481,0.397370,0.949993,06:02
32,7.239965,7.895316,0.782000,0.509969,0.368307,0.925569,06:02
33,7.584683,8.216804,0.798000,0.486515,0.397246,0.939458,06:02
34,7.512171,8.188165,0.756000,0.653787,0.381437,0.930002,06:02
35,7.589435,7.843167,0.773000,0.504343,0.366612,0.918177,06:01
36,7.308640,7.911405,0.782000,0.571435,0.362521,0.928690,06:02
37,7.412819,7.929916,0.762000,0.589848,0.364047,0.924899,06:02
38,7.322086,8.013938,0.775000,0.593377,0.370977,0.927698,05:59
39,7.649522,8.101206,0.740000,0.668115,0.370252,0.932644,05:49
