epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,4.540791,4.686619,0.872000,0.333387,0.361752,0.997870,06:02
1,4.545502,4.612598,0.878000,0.346158,0.383319,0.970780,06:02
2,4.395453,4.443073,0.877000,0.341128,0.357856,0.936022,06:03
3,4.458611,4.382263,0.868000,0.346183,0.383268,0.913203,06:03
4,4.348254,4.470840,0.869000,0.378071,0.390741,0.925507,06:02
5,4.411108,4.484633,0.870000,0.355002,0.373347,0.939071,06:02
6,4.442165,4.442625,0.863000,0.349908,0.373477,0.929810,06:03
7,4.309213,4.451598,0.857000,0.364536,0.380970,0.926524,06:02
8,4.284975,4.360779,0.884000,0.299926,0.371038,0.922454,06:02
9,4.405727,4.412113,0.875000,0.321658,0.368549,0.930476,06:01
