epoch,train_loss,valid_loss,validation,div_metric,div_loss_0,triplet_loss,time
0,5.002669,5.005938,0.447000,440,0.607787,1.099538,05:57
1,4.942676,4.860634,0.449000,732,0.569322,1.072828,05:57
2,4.933006,4.886210,0.588000,532,0.590860,1.073838,05:57
3,4.934405,4.941259,0.589000,626,0.578101,1.090790,05:57
4,4.756703,4.823102,0.558000,514,0.568862,1.063560,05:57
5,4.755304,4.736359,0.543000,641,0.549719,1.046660,05:57
6,4.780277,4.711791,0.530000,584,0.539108,1.043171,05:57
7,4.740013,4.783499,0.540000,793,0.528318,1.063795,05:57
8,4.767875,4.695158,0.597000,684,0.544927,1.037557,05:57
9,4.756124,4.626102,0.515000,550,0.537550,1.022138,05:57
