epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss_0,triplet_loss,time
0,8.539601,8.857298,0.702000,768,0.775250,0.610749,1.092575,06:29
1,8.396054,8.265763,0.737000,476,0.659351,0.615826,1.088296,06:28
2,7.623304,8.437061,0.746000,470,0.696093,0.598259,1.089584,06:28
3,7.834001,7.986215,0.751000,349,0.597176,0.619921,1.095103,06:28
4,7.748580,7.973812,0.743000,324,0.602007,0.602676,1.090275,06:28
5,7.570207,8.157144,0.731000,415,0.647766,0.597076,1.080310,06:28
6,7.546559,7.957203,0.761000,419,0.611080,0.594742,1.076765,06:27
7,7.444465,7.912474,0.763000,336,0.578979,0.619462,1.099530,06:28
8,7.358134,7.738117,0.774000,351,0.557112,0.625262,1.081824,06:28
9,7.669457,7.622698,0.774000,285,0.560889,0.586123,1.058033,06:29
10,7.324917,7.419783,0.782000,340,0.523350,0.573398,1.057408,06:28
11,7.755093,7.514254,0.787000,327,0.524584,0.590127,1.075302,06:28
12,7.498486,7.401458,0.785000,319,0.518750,0.572142,1.058891,06:28
13,7.332226,7.421553,0.773000,237,0.529269,0.584158,1.047763,06:28
14,7.585703,7.647062,0.778000,355,0.550996,0.579288,1.078199,06:28
15,7.188153,7.315647,0.786000,279,0.519966,0.570052,1.036442,06:29
16,7.082366,7.387590,0.796000,365,0.506027,0.601876,1.063895,06:28
17,7.002216,7.353973,0.779000,285,0.527457,0.561566,1.038781,06:28
18,6.926889,7.335550,0.785000,215,0.509856,0.595855,1.047604,06:27
19,7.235660,7.311347,0.790000,305,0.484239,0.584295,1.076464,06:28
20,6.938021,7.162422,0.798000,240,0.484286,0.563290,1.044425,06:28
21,7.015399,7.238085,0.801000,265,0.485496,0.596255,1.053588,06:28
22,7.171072,6.878607,0.797000,236,0.441276,0.548273,1.030988,06:28
23,6.854305,7.158628,0.802000,272,0.453804,0.598743,1.072716,06:28
24,6.872309,7.036872,0.798000,296,0.482491,0.573304,1.012778,06:29
25,6.954715,6.964200,0.810000,335,0.477719,0.546186,1.007355,06:28
26,6.943983,7.158061,0.806000,265,0.485203,0.571122,1.040231,06:28
27,7.047888,7.190732,0.801000,383,0.502536,0.576754,1.025324,06:28
28,6.913846,6.887259,0.793000,313,0.472250,0.518365,1.001911,06:28
29,6.730290,7.015109,0.790000,271,0.473388,0.541440,1.026682,06:28
