epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,0.666423,0.849319,0.548000,775.000000,1.404034,-0.554715,05:41
1,0.376944,0.589454,0.643000,651.750000,1.075393,-0.485939,05:42
2,0.163024,0.139828,0.737000,639.750000,0.586197,-0.446369,05:42
3,0.044765,0.205146,0.732000,418.250000,0.615546,-0.410399,05:42
4,0.103054,0.268080,0.765000,336.500000,0.525779,-0.415433,05:38
5,0.164518,0.232296,0.776000,325.250000,0.515474,-0.437820,05:36
6,0.118574,0.236519,0.766000,315.750000,0.532435,-0.455646,05:36
7,0.164487,0.374958,0.778000,323.250000,0.496082,-0.418773,05:35
8,0.149940,0.307777,0.785000,318.500000,0.486388,-0.470443,05:35
9,0.234321,0.336037,0.786000,316.250000,0.483661,-0.437821,05:35
10,0.168844,0.366615,0.782000,312.500000,0.513291,-0.454650,05:35
11,0.231267,0.456236,0.801000,307.250000,0.477051,-0.450160,05:35
12,0.367018,0.382179,0.806000,302.000000,0.440287,-0.454366,05:35
13,0.295816,0.387457,0.809000,286.250000,0.424764,-0.419595,05:35
14,0.153562,0.401454,0.801000,295.750000,0.458922,-0.470497,05:35
15,0.340127,0.508312,0.806000,290.000000,0.419999,-0.415686,05:35
16,0.251891,0.508029,0.823000,282.250000,0.432932,-0.444421,05:38
17,0.384655,0.594032,0.805000,273.500000,0.424508,-0.467238,05:36
18,0.494318,0.661348,0.815000,278.000000,0.432440,-0.419751,05:36
19,0.440646,0.663573,0.804000,272.000000,0.409331,-0.482553,05:35
20,0.369270,0.667761,0.824000,277.250000,0.398912,-0.449192,05:38
21,0.425889,0.700134,0.821000,281.000000,0.404976,-0.433798,05:37
22,0.550895,0.755507,0.824000,254.750000,0.387383,-0.445381,05:40
23,0.556167,0.808461,0.814000,244.250000,0.403591,-0.442673,05:38
24,0.580725,0.811367,0.822000,267.500000,0.361738,-0.418541,05:37
25,0.645605,0.885365,0.822000,260.500000,0.392442,-0.448937,05:35
26,0.725695,1.000698,0.809000,256.000000,0.398784,-0.474803,05:37
27,0.689891,1.007681,0.833000,256.000000,0.362724,-0.443217,05:37
28,0.922233,1.044810,0.833000,265.250000,0.371436,-0.440934,05:39
29,0.857090,1.075892,0.832000,235.750000,0.358422,-0.465322,05:40
30,0.935107,0.997704,0.838000,239.000000,0.337752,-0.454628,05:39
31,0.883380,1.090575,0.830000,240.500000,0.359746,-0.456333,05:39
32,1.006418,1.210079,0.830000,237.500000,0.359383,-0.443084,05:40
33,1.009753,1.183170,0.840000,243.250000,0.348421,-0.419568,05:37
34,1.029173,1.134491,0.832000,239.000000,0.345056,-0.452766,05:36
35,0.949502,1.142287,0.836000,223.250000,0.344096,-0.440555,05:37
36,0.801533,1.162377,0.834000,242.000000,0.344716,-0.423316,05:37
37,0.869897,1.188026,0.844000,215.250000,0.322461,-0.392031,05:37
38,0.895747,1.253782,0.841000,216.000000,0.335698,-0.391136,05:37
39,1.303776,1.367738,0.835000,211.750000,0.342013,-0.410732,05:37
40,1.224070,1.423182,0.841000,213.000000,0.334261,-0.415255,05:37
41,1.222381,1.361659,0.854000,211.000000,0.319153,-0.393683,05:38
42,0.975477,1.262156,0.852000,207.250000,0.306292,-0.422452,05:38
43,1.022604,1.370791,0.842000,214.000000,0.321477,-0.397330,05:37
44,1.164180,1.495412,0.846000,204.500000,0.324919,-0.389117,05:37
45,1.206383,1.541658,0.854000,199.000000,0.317376,-0.394335,05:37
