epoch,train_loss,valid_loss,validation,div_metric,div_loss,time
0,0.737915,0.803654,0.488000,808.750000,0.803654,05:58
1,0.648858,0.639066,0.483000,650.250000,0.639066,05:58
2,0.581425,0.585075,0.515000,681.000000,0.585075,06:01
3,0.544697,0.583672,0.628000,661.750000,0.583672,06:02
4,0.515340,0.534867,0.652000,509.000000,0.534868,06:03
5,0.486149,0.494894,0.620000,521.500000,0.494894,06:03
6,0.451990,0.475800,0.629000,581.500000,0.475800,06:03
7,0.441681,0.493881,0.661000,629.500000,0.493881,05:59
8,0.416281,0.435005,0.595000,442.250000,0.435005,05:43
9,0.389418,0.420350,0.696000,647.000000,0.420350,05:43
