epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,13.445949,13.544756,0.709000,0.000000,827.000000,9.710235,13.544754,06:58
1,13.155697,13.280267,0.717000,0.000000,362.750000,7.476595,13.280267,07:00
2,12.918164,13.160851,0.713000,0.000000,358.500000,7.453459,13.160854,06:45
3,12.746169,12.992505,0.716000,0.000000,381.250000,7.623860,12.992506,06:47
4,12.564659,12.713966,0.718000,0.000000,510.750000,8.400917,12.713968,06:57
5,12.218238,12.498916,0.724000,0.000000,551.000000,8.556971,12.498917,07:04
6,12.258943,12.346742,0.714000,0.000000,568.500000,8.674858,12.346742,06:50
7,11.933468,12.180079,0.732000,0.002000,467.250000,8.067064,12.180081,06:45
8,11.812894,11.995094,0.719000,0.002000,455.250000,7.968386,11.995092,06:50
9,11.592505,11.842618,0.728000,0.003000,459.000000,7.978888,11.842618,07:01
10,11.591493,11.706532,0.729000,0.003000,509.500000,8.260596,11.706532,06:54
11,11.247136,11.544964,0.736000,0.005000,501.750000,8.259275,11.544962,06:44
12,11.076229,11.369417,0.736000,0.006000,540.000000,8.460723,11.369417,06:51
13,11.201446,11.230549,0.742000,0.005000,454.250000,7.871768,11.230551,07:08
14,10.865114,11.133802,0.737000,0.008000,432.500000,7.803360,11.133804,06:59
15,10.908323,10.996991,0.739000,0.008000,427.000000,7.774868,10.996991,06:53
16,10.654477,10.822813,0.747000,0.009000,555.250000,8.463744,10.822812,06:52
17,10.498657,10.760731,0.743000,0.019000,463.750000,8.163846,10.760731,07:14
18,10.659114,10.656833,0.744000,0.015000,422.500000,7.762992,10.656834,06:59
19,10.363803,10.535669,0.742000,0.021000,436.250000,7.827277,10.535669,06:33
20,10.310734,10.452756,0.742000,0.026000,472.500000,8.117409,10.452757,06:37
21,10.152164,10.381686,0.743000,0.028000,463.250000,7.975866,10.381686,06:37
22,10.138622,10.319407,0.755000,0.029000,445.000000,7.895301,10.319407,06:32
23,10.087001,10.259262,0.752000,0.037000,522.500000,8.450119,10.259262,06:35
24,10.003859,10.166683,0.750000,0.037000,468.000000,8.050625,10.166683,06:36
25,9.828690,10.086330,0.747000,0.045000,504.500000,8.322779,10.086331,06:36
26,9.833447,10.014629,0.752000,0.050000,524.000000,8.491949,10.014627,06:33
27,9.605618,9.975939,0.756000,0.050000,516.000000,8.430809,9.975940,06:36
28,9.344574,9.908913,0.752000,0.055000,541.750000,8.594385,9.908914,06:35
29,9.600570,9.872907,0.754000,0.064000,516.250000,8.422232,9.872904,06:34
30,9.476166,9.812382,0.750000,0.064000,481.250000,8.144522,9.812382,06:35
31,9.352339,9.784671,0.757000,0.068000,521.500000,8.499642,9.784670,06:37
32,9.414641,9.726636,0.751000,0.066000,493.750000,8.305327,9.726636,06:37
33,9.280601,9.708342,0.754000,0.068000,504.750000,8.330062,9.708342,06:32
34,9.274857,9.665215,0.751000,0.071000,477.250000,8.225849,9.665214,06:36
35,9.284216,9.591502,0.744000,0.077000,465.250000,8.016726,9.591501,06:35
36,9.164500,9.570055,0.753000,0.075000,458.250000,7.939898,9.570054,06:35
37,9.109237,9.500231,0.745000,0.078000,461.000000,8.059519,9.500231,06:34
38,8.992114,9.471927,0.746000,0.079000,470.750000,8.116294,9.471928,06:37
