epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,2.417657,2.334178,0.453000,812.000000,1.335018,0.999160,05:51
1,2.144711,2.200747,0.496000,570.250000,1.201302,0.999446,05:51
2,1.664965,1.648308,0.705000,532.000000,0.648720,0.999588,05:53
3,1.325528,1.394194,0.838000,348.000000,0.394268,0.999926,05:55
4,1.305742,1.378059,0.845000,176.250000,0.378133,0.999926,06:02
5,1.271091,1.350818,0.860000,169.000000,0.350897,0.999921,06:02
6,1.282763,1.338262,0.869000,149.750000,0.338306,0.999956,06:03
7,1.255080,1.333624,0.872000,146.250000,0.333660,0.999964,06:02
8,1.252037,1.329825,0.872000,139.000000,0.329889,0.999936,06:02
9,1.255544,1.328410,0.873000,139.000000,0.328421,0.999989,06:02
