epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss,time
0,1.519581,1.211973,0.666000,0.313509,0.725020,0.173444,06:16
1,1.164312,1.033857,0.701000,0.277098,0.716722,0.040037,06:17
2,1.095099,1.010616,0.692000,0.283981,0.654248,0.072387,06:16
3,1.069559,1.002650,0.744000,0.242495,0.706502,0.053654,06:15
4,1.012243,0.951435,0.787000,0.199367,0.681702,0.070366,06:16
5,0.926107,0.930180,0.773000,0.208482,0.675574,0.046124,06:16
6,0.934797,0.919943,0.772000,0.204367,0.672890,0.042686,06:16
7,0.966980,0.932518,0.791000,0.175243,0.695436,0.061839,06:16
8,0.947608,0.925771,0.798000,0.182986,0.695701,0.047084,06:16
9,0.923795,0.896594,0.821000,0.158925,0.697329,0.040340,06:16
10,1.001785,0.904245,0.821000,0.164527,0.699402,0.040317,06:16
11,0.940381,0.922011,0.761000,0.215419,0.648879,0.057713,06:16
12,0.917754,0.851259,0.798000,0.169353,0.647985,0.033920,06:17
13,0.896929,0.897277,0.805000,0.182095,0.658047,0.057135,06:18
14,0.903222,0.855086,0.805000,0.167842,0.644521,0.042723,06:18
15,0.913184,0.823896,0.807000,0.164704,0.641153,0.018039,06:18
16,0.843765,0.840747,0.798000,0.176890,0.625211,0.038646,06:18
17,0.874045,0.831225,0.808000,0.172147,0.608434,0.050643,06:18
18,0.854926,0.793862,0.811000,0.164966,0.593822,0.035074,06:18
19,0.860661,0.811224,0.780000,0.192739,0.582943,0.035542,06:18
20,0.845815,0.743416,0.820000,0.153680,0.521119,0.068617,06:18
21,0.746887,0.763185,0.815000,0.153565,0.544019,0.065601,06:18
22,0.770559,0.745462,0.781000,0.186705,0.494036,0.064721,06:18
23,0.755987,0.753696,0.793000,0.170371,0.536997,0.046328,06:18
24,0.797149,0.737520,0.827000,0.149427,0.528858,0.059234,06:18
25,0.762017,0.740463,0.804000,0.171526,0.500686,0.068251,06:18
26,0.752636,0.705546,0.818000,0.155179,0.510213,0.040153,06:18
27,0.705993,0.672859,0.812000,0.154111,0.482154,0.036594,06:18
28,0.732857,0.713464,0.776000,0.191414,0.486801,0.035248,06:20
29,0.690796,0.670008,0.812000,0.165858,0.472458,0.031692,06:18
