epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,time
0,1.041351,1.133961,0.643980,0.336477,0.797485,31:20
1,0.945871,1.044066,0.680520,0.290598,0.753468,31:30
2,0.578581,0.655462,0.807860,0.175672,0.479790,31:29
3,0.487819,0.591213,0.833620,0.147985,0.443228,31:38
4,0.420774,0.511946,0.836420,0.153398,0.358549,31:30
5,0.439777,0.546473,0.834940,0.157997,0.388475,31:27
6,0.361831,0.449206,0.884640,0.106134,0.343071,31:27
7,0.344545,0.425139,0.886640,0.105130,0.320009,31:29
8,0.344643,0.418131,0.884200,0.105248,0.312882,31:27
9,0.345902,0.407005,0.903540,0.092555,0.314450,31:24
10,0.312607,0.380902,0.916380,0.079478,0.301424,31:24
11,0.305450,0.403994,0.912800,0.081744,0.322249,31:27
12,0.317416,0.374393,0.893980,0.098629,0.275764,31:23
13,0.294802,0.410354,0.919700,0.077031,0.333322,31:24
14,0.304378,0.375302,0.910860,0.085344,0.289957,31:24
15,0.324414,0.362321,0.923540,0.072744,0.289578,31:27
16,0.274251,0.362833,0.919240,0.077015,0.285819,31:25
17,0.292378,0.342456,0.923300,0.072779,0.269676,31:25
18,0.259551,0.372322,0.916960,0.077445,0.294878,31:26
19,0.261403,0.356658,0.918520,0.078419,0.278238,31:37
20,0.305022,0.343764,0.920800,0.075776,0.267987,31:23
21,0.278722,0.360819,0.923280,0.074343,0.286475,31:23
22,0.283920,0.346132,0.920820,0.075914,0.270218,31:24
23,0.272420,0.351636,0.925520,0.071183,0.280453,31:24
24,0.267111,0.348860,0.923920,0.074401,0.274459,31:23
25,0.273499,0.335779,0.921480,0.075399,0.260380,31:23
26,0.232998,0.347622,0.929060,0.068512,0.279110,31:22
27,0.281368,0.351127,0.922260,0.073563,0.277564,31:22
28,0.247949,0.338580,0.928440,0.068143,0.270437,31:23
29,0.251643,0.323813,0.931220,0.066237,0.257576,31:23
