epoch,train_loss,valid_loss,validation,fool_loss,triplet_loss,time
0,12.390402,12.282718,0.358000,0.780950,11.501772,08:03
1,11.989107,11.891168,0.553000,0.466098,11.425071,08:02
2,11.210312,10.981288,0.587000,0.404897,10.576388,08:03
3,11.297502,10.961613,0.504000,0.553593,10.408018,08:04
4,11.694779,10.702791,0.526000,0.496237,10.206555,08:02
5,11.202653,10.938108,0.559000,0.429923,10.508189,08:01
6,11.075250,11.031419,0.437000,0.643580,10.387839,08:03
7,10.668581,10.385292,0.584000,0.408811,9.976480,08:03
8,10.367526,10.150457,0.618000,0.397319,9.753138,08:03
9,10.379999,9.736081,0.608000,0.407280,9.328804,08:01
10,9.758171,9.431476,0.696000,0.303290,9.128187,08:02
11,9.641568,9.491842,0.633000,0.362499,9.129344,08:07
12,9.590355,9.304682,0.727000,0.256180,9.048502,08:08
13,9.254966,9.390162,0.639000,0.368997,9.021164,08:07
14,9.736557,8.767347,0.710000,0.268723,8.498628,08:08
15,9.469720,8.993588,0.709000,0.284712,8.708877,08:07
16,9.408785,8.976587,0.716000,0.284032,8.692554,08:07
17,9.347027,8.734991,0.726000,0.273879,8.461111,08:08
18,9.222780,8.926682,0.690000,0.312262,8.614418,08:07
19,9.445946,8.871094,0.709000,0.288096,8.582997,08:07
20,9.177449,8.817415,0.725000,0.271539,8.545875,08:08
21,8.976871,8.558879,0.776000,0.214550,8.344330,08:08
22,8.782073,8.587859,0.808000,0.182948,8.404911,08:10
23,8.845174,8.960734,0.667000,0.341417,8.619316,08:09
24,9.250890,8.751810,0.794000,0.191876,8.559936,08:09
25,8.704934,8.722504,0.708000,0.279850,8.442655,08:09
26,8.865218,8.361303,0.772000,0.222244,8.139060,08:09
27,8.738193,8.526926,0.753000,0.241897,8.285028,08:08
28,8.670637,8.347452,0.773000,0.210927,8.136526,08:08
29,8.881072,8.621896,0.802000,0.182337,8.439558,08:09
30,8.841318,8.406054,0.763000,0.228301,8.177755,08:08
31,8.535230,8.648370,0.775000,0.216770,8.431602,08:08
32,8.697466,8.227235,0.809000,0.184388,8.042846,08:08
33,8.753699,8.411867,0.793000,0.192624,8.219244,08:09
34,8.699810,8.253780,0.786000,0.212599,8.041181,08:09
35,8.771470,8.253807,0.861000,0.127792,8.126015,08:09
36,8.641623,8.122705,0.830000,0.159614,7.963090,08:10
37,8.703922,8.380156,0.855000,0.123569,8.256586,08:09
38,8.816714,8.588362,0.743000,0.250148,8.338214,08:08
39,8.497935,8.309456,0.785000,0.192659,8.116796,08:07
40,9.124348,8.363381,0.781000,0.202599,8.160782,08:08
41,8.657451,8.090855,0.811000,0.177896,7.912959,08:09
42,8.671754,8.357632,0.816000,0.172393,8.185237,08:10
43,8.692039,8.191798,0.822000,0.171990,8.019808,08:08
44,8.596077,8.525998,0.724000,0.259418,8.266584,08:07
45,8.741805,8.243668,0.753000,0.240835,8.002834,08:08
46,8.603249,7.949633,0.848000,0.146101,7.803531,08:08
47,8.147998,8.279138,0.793000,0.189690,8.089447,08:09
48,8.631443,8.511415,0.761000,0.220717,8.290698,08:10
49,8.310143,7.838779,0.866000,0.119892,7.718887,08:10
50,8.542449,8.034044,0.839000,0.152927,7.881116,08:10
51,8.487090,8.104003,0.745000,0.246954,7.857051,08:09
52,8.231706,7.783610,0.835000,0.150538,7.633071,08:09
53,7.831203,7.921008,0.826000,0.163149,7.757857,08:09
54,8.401923,7.670494,0.857000,0.123853,7.546640,08:10
55,8.464682,7.811784,0.812000,0.181564,7.630220,08:09
56,8.188480,7.720619,0.841000,0.146167,7.574451,08:09
57,7.943955,7.824490,0.808000,0.192003,7.632486,08:09
58,8.567656,7.888463,0.845000,0.144900,7.743563,08:09
59,8.310229,7.770052,0.877000,0.110248,7.659805,08:09
60,8.789903,8.141018,0.764000,0.239516,7.901503,08:09
61,8.106651,7.483413,0.889000,0.101165,7.382247,08:10
62,8.463891,8.076507,0.818000,0.171586,7.904922,08:08
63,8.115688,7.759437,0.850000,0.137417,7.622020,08:08
64,8.106930,7.509228,0.832000,0.148022,7.361206,08:09
65,8.177420,7.939203,0.800000,0.180496,7.758708,08:11
66,8.098976,7.713646,0.881000,0.105650,7.607995,08:11
67,8.468514,7.606938,0.847000,0.148376,7.458562,08:10
68,8.088913,7.984004,0.893000,0.095355,7.888649,08:10
69,8.263779,7.889249,0.825000,0.161356,7.727892,08:09
