epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_loss_1,triplet_loss_2,time
0,9.301785,8.174677,0.299000,0.870803,0.849351,6.246797,0.207727,08:54
1,8.632302,7.937586,0.425000,0.682316,0.807666,6.297784,0.149821,08:51
2,8.248458,7.669611,0.538000,0.498428,0.784372,6.159368,0.227442,08:52
3,7.966278,7.504391,0.548000,0.476224,0.773526,6.151910,0.102731,08:50
4,7.679089,7.324594,0.516000,0.532505,0.764371,6.002468,0.025250,08:50
5,7.780422,7.260754,0.532000,0.494893,0.743947,5.974348,0.047565,08:50
6,7.724503,7.306352,0.542000,0.477214,0.765498,5.974287,0.089352,08:51
7,7.704062,7.322018,0.522000,0.501787,0.747298,5.942135,0.130800,08:51
8,7.575869,7.257819,0.546000,0.481794,0.736864,5.944993,0.094167,08:51
9,7.656741,7.246079,0.547000,0.473989,0.759234,5.945387,0.067469,08:50
10,7.648494,7.168208,0.592000,0.411697,0.741011,5.922215,0.093286,08:50
11,7.417647,7.153516,0.580000,0.440853,0.721334,5.825346,0.165980,08:50
12,7.367603,7.227637,0.549000,0.475275,0.719036,5.863763,0.169562,08:50
13,7.638986,7.090301,0.584000,0.422792,0.728341,5.867100,0.072066,08:51
14,7.542010,7.291153,0.533000,0.521852,0.735803,5.978256,0.055243,08:50
15,7.536591,7.252051,0.570000,0.435301,0.723642,5.852720,0.240388,08:50
16,7.472273,7.181763,0.573000,0.430757,0.728468,5.854554,0.167983,08:50
17,7.420687,7.074083,0.631000,0.383970,0.716548,5.894355,0.079211,08:51
18,7.522466,7.377058,0.586000,0.429572,0.731026,5.920793,0.295667,08:50
19,7.537755,7.096134,0.608000,0.392289,0.710078,5.860023,0.133743,08:50
20,7.381442,7.270034,0.539000,0.492115,0.737559,5.938478,0.101881,08:51
21,7.492215,7.119553,0.535000,0.481630,0.740141,5.875518,0.022262,08:51
22,7.393837,7.107544,0.542000,0.481089,0.714711,5.795504,0.116239,08:51
23,7.358435,7.232248,0.571000,0.436109,0.738593,5.972472,0.085074,08:51
24,7.562263,7.181581,0.566000,0.460587,0.738016,5.890903,0.092073,08:50
25,7.353034,7.072072,0.587000,0.437281,0.714244,5.860680,0.059867,08:51
26,7.575082,7.370607,0.474000,0.584295,0.721179,5.949513,0.115620,08:51
27,7.632953,7.280068,0.507000,0.508218,0.707100,5.900769,0.163983,08:51
28,7.552769,7.216681,0.583000,0.436453,0.722766,5.904751,0.152711,08:49
29,7.581055,7.035327,0.556000,0.481790,0.705982,5.797615,0.049940,08:42
30,7.330764,7.206343,0.519000,0.502394,0.703760,5.876766,0.123424,08:43
31,7.426889,7.238783,0.527000,0.496400,0.723799,5.898168,0.120415,08:42
32,7.526199,7.090713,0.543000,0.476696,0.713080,5.824572,0.076365,08:42
33,7.385794,7.190554,0.492000,0.559259,0.710277,5.838418,0.082599,08:43
34,7.586896,7.242975,0.553000,0.478348,0.740194,5.928958,0.095475,08:43
35,7.250425,7.092975,0.534000,0.479134,0.710745,5.827612,0.075485,08:43
36,7.464391,7.236151,0.522000,0.504434,0.744981,5.852546,0.134191,08:43
37,7.511122,7.141497,0.559000,0.460357,0.727959,5.818682,0.134498,08:43
38,7.430907,7.042891,0.577000,0.429892,0.715485,5.847877,0.049639,08:42
39,7.532244,7.038785,0.567000,0.440971,0.724191,5.828129,0.045494,08:43
