epoch,train_loss,valid_loss,validation,fool_loss,div_loss_0,triplet_conv,triplet_raw,time
0,73.232742,69.316208,0.072000,1.552011,0.974315,19.986082,46.803802,08:03
1,72.289001,62.968990,0.100000,1.422462,0.946186,19.973269,40.627075,08:09
2,70.792274,65.030373,0.317000,0.847565,0.849425,19.906231,43.427143,08:03
3,68.338615,66.348106,0.398000,0.688527,0.816606,19.885548,44.957436,08:02
4,62.258266,71.718597,0.411000,0.696616,0.832269,19.905685,50.284016,08:03
5,25.794466,106.924057,0.068000,1.565852,0.984487,19.990173,84.383560,08:03
6,23.299978,103.013680,0.131000,1.363420,0.968040,19.991423,80.690804,08:03
7,25.382223,91.292397,0.049000,1.572208,0.989726,19.989325,68.741112,08:03
8,24.389084,94.828560,0.092000,1.482957,0.984946,19.985970,72.374702,08:09
9,24.699690,111.271500,0.054000,1.564090,0.989835,19.989834,88.727722,08:03
