epoch,train_loss,valid_loss,validation,fool_loss,time
0,8.875056,9.114141,0.859000,9.114142,04:26
1,8.931685,8.955181,0.874000,8.955181,04:24
2,8.675035,8.731939,0.863000,8.731938,04:26
3,8.440866,8.784265,0.870000,8.784266,04:24
4,8.386898,8.728917,0.874000,8.728919,04:25
5,8.404854,8.604905,0.861000,8.604904,04:26
6,8.250985,8.521873,0.873000,8.521873,04:26
7,8.181373,8.445906,0.864000,8.445904,04:25
8,8.025917,8.301344,0.872000,8.301344,04:24
9,8.119502,8.216120,0.861000,8.216122,04:35
10,7.970510,8.238851,0.870000,8.238851,04:26
11,7.829738,8.097805,0.873000,8.097809,04:24
12,7.787951,8.103425,0.861000,8.103426,04:24
13,7.621235,8.033214,0.876000,8.033212,04:26
14,7.778547,7.899292,0.871000,7.899291,04:24
15,7.461702,7.758134,0.875000,7.758133,04:30
16,7.664937,7.851688,0.874000,7.851690,04:26
17,7.406364,7.747519,0.879000,7.747519,04:28
18,7.498688,7.677863,0.882000,7.677864,04:23
19,7.292925,7.638308,0.876000,7.638308,04:24
20,7.450341,7.395802,0.874000,7.395802,04:24
21,7.422800,7.416328,0.886000,7.416326,04:26
22,7.065821,7.399759,0.881000,7.399760,04:24
23,7.284474,7.351653,0.866000,7.351654,04:23
24,6.961123,7.113284,0.866000,7.113283,04:24
25,6.996243,7.121713,0.869000,7.121715,04:23
26,6.875636,7.030858,0.881000,7.030856,04:24
27,6.770162,7.116377,0.874000,7.116377,04:24
28,6.984686,7.021047,0.867000,7.021048,04:24
29,6.740460,6.928026,0.886000,6.928027,04:23
30,6.666687,6.881896,0.887000,6.881895,04:24
31,6.693375,6.777052,0.872000,6.777052,04:24
32,6.330048,6.663828,0.884000,6.663827,04:26
33,6.480844,6.596082,0.884000,6.596082,04:25
34,6.400496,6.526594,0.886000,6.526592,04:24
35,6.261163,6.469311,0.877000,6.469312,04:25
36,6.298355,6.336119,0.883000,6.336120,04:25
37,6.310036,6.269761,0.885000,6.269760,04:24
38,6.293481,6.417057,0.880000,6.417057,04:25
39,5.710230,6.134427,0.875000,6.134425,04:24
