epoch,train_loss,valid_loss,validation,div_metric,div_loss,triplet_loss,time
0,4.429889,4.209318,0.560000,736,0.443244,0.941519,07:23
1,4.158832,3.833608,0.753000,713,0.353195,0.870103,07:16
2,3.990724,3.943542,0.713000,615,0.374768,0.892193,07:15
3,3.811078,3.579303,0.701000,684,0.332009,0.811823,07:15
4,3.839618,3.747989,0.711000,687,0.326194,0.855449,07:20
5,3.787052,3.707523,0.713000,326,0.353291,0.838558,07:24
6,3.836751,3.677830,0.731000,532,0.342382,0.833862,07:29
7,3.702076,3.774576,0.748000,555,0.311300,0.865819,07:30
8,3.679444,3.478559,0.750000,540,0.319983,0.789644,07:29
9,3.644491,3.441395,0.797000,114,0.272481,0.792229,07:24
