epoch,train_loss,valid_loss,validation,div_metric,div_loss,time
0,2.561821,2.723645,0.446000,780.000000,0.680911,07:41
1,2.547152,2.695760,0.493000,763.750000,0.673940,07:41
2,2.279765,2.393773,0.639000,734.250000,0.598443,07:42
3,1.985766,2.067719,0.679000,632.250000,0.516930,07:43
4,1.669136,1.770352,0.723000,623.500000,0.442588,07:43
5,1.516546,1.682303,0.691000,455.000000,0.420576,07:42
6,1.373109,1.427850,0.679000,529.750000,0.356963,07:42
7,1.307656,1.395249,0.704000,516.250000,0.348812,07:43
8,1.211362,1.262333,0.807000,641.750000,0.315583,07:44
9,1.252867,1.307962,0.811000,479.750000,0.326990,07:55
