epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,fool_loss,time
0,8.025058,8.121619,0.858000,0.005000,409.000000,8.121619,05:31
1,7.803462,7.901579,0.868000,0.006000,271.750000,7.901579,05:38
2,7.693347,7.861504,0.862000,0.007000,373.250000,7.861504,05:31
3,7.433494,7.669646,0.871000,0.017000,418.000000,7.669644,05:28
4,7.551551,7.481901,0.874000,0.009000,448.500000,7.481904,05:30
5,7.174797,7.330101,0.868000,0.014000,473.750000,7.330101,05:30
6,6.878778,7.194198,0.875000,0.025000,452.250000,7.194198,05:29
7,6.946746,7.070791,0.867000,0.027000,470.750000,7.070791,05:30
8,6.777806,6.977644,0.872000,0.022000,442.500000,6.977643,05:29
9,6.712232,6.814932,0.862000,0.034000,398.500000,6.814931,05:28
10,6.387060,6.603463,0.863000,0.037000,473.000000,6.603462,05:29
11,6.533409,6.617189,0.871000,0.053000,397.750000,6.617189,05:38
12,6.317292,6.554553,0.876000,0.059000,418.500000,6.554553,05:40
13,6.156259,6.312892,0.874000,0.062000,441.500000,6.312892,05:39
14,6.070305,6.418218,0.871000,0.062000,485.000000,6.418218,05:39
15,5.987096,6.259840,0.880000,0.081000,446.250000,6.259839,05:41
16,5.954931,6.249086,0.873000,0.081000,467.250000,6.249087,05:40
17,5.954041,6.086948,0.876000,0.107000,424.750000,6.086949,05:41
18,5.776300,5.966331,0.874000,0.098000,348.250000,5.966332,05:37
19,5.661072,5.907032,0.868000,0.103000,393.750000,5.907032,05:41
20,5.790937,5.830946,0.871000,0.118000,449.750000,5.830946,05:36
21,5.670403,5.748401,0.867000,0.110000,394.250000,5.748402,05:28
22,5.681753,5.728346,0.877000,0.111000,439.500000,5.728347,05:30
23,5.436625,5.727542,0.875000,0.127000,474.250000,5.727544,05:34
24,5.386343,5.681900,0.875000,0.130000,486.000000,5.681901,05:29
25,5.310972,5.551379,0.862000,0.138000,425.000000,5.551379,05:30
26,5.363425,5.574081,0.871000,0.139000,473.750000,5.574081,05:29
27,5.368464,5.503933,0.869000,0.159000,450.500000,5.503933,05:29
28,5.294869,5.522529,0.879000,0.145000,420.000000,5.522530,05:29
29,5.208868,5.498254,0.882000,0.162000,475.500000,5.498253,05:31
30,5.193404,5.471290,0.878000,0.161000,433.000000,5.471291,05:29
31,4.896804,5.235238,0.868000,0.182000,444.250000,5.235238,05:30
32,5.041327,5.304336,0.870000,0.185000,470.000000,5.304336,05:28
33,5.104694,5.310255,0.869000,0.186000,479.000000,5.310256,05:29
34,5.051234,5.136891,0.863000,0.216000,450.000000,5.136890,05:36
35,5.031555,5.265427,0.873000,0.186000,356.000000,5.265427,05:30
36,4.869769,5.154756,0.859000,0.209000,552.000000,5.154757,05:30
37,4.946342,5.149337,0.867000,0.199000,506.000000,5.149336,05:29
38,4.804254,5.103241,0.869000,0.215000,446.500000,5.103240,05:28
39,4.871840,4.954289,0.859000,0.249000,476.250000,4.954289,05:29
40,4.712579,5.192847,0.867000,0.218000,478.250000,5.192846,05:29
41,4.813451,5.179766,0.854000,0.206000,496.750000,5.179767,05:29
42,4.739827,4.981596,0.863000,0.245000,487.500000,4.981596,05:29
43,4.695931,4.924240,0.867000,0.239000,496.750000,4.924239,05:28
44,4.801011,5.012233,0.865000,0.250000,542.000000,5.012233,05:30
45,4.558473,4.992341,0.883000,0.222000,496.000000,4.992341,05:29
46,4.731184,4.896937,0.879000,0.242000,521.750000,4.896937,05:29
47,4.442842,4.928431,0.874000,0.240000,554.750000,4.928431,05:29
48,4.550675,4.949565,0.867000,0.247000,485.250000,4.949565,05:30
49,4.589374,4.879778,0.880000,0.267000,518.750000,4.879778,05:28
50,4.641623,4.821388,0.874000,0.249000,559.750000,4.821388,05:27
51,4.598347,4.872645,0.874000,0.255000,497.750000,4.872645,05:28
52,4.516685,4.809891,0.872000,0.262000,530.750000,4.809891,05:28
53,4.524107,4.731774,0.876000,0.270000,526.000000,4.731774,05:29
54,4.428048,4.693258,0.881000,0.298000,566.250000,4.693259,05:28
55,4.429935,4.622547,0.878000,0.293000,497.500000,4.622547,05:28
56,4.584336,4.703408,0.881000,0.284000,557.250000,4.703408,05:29
57,4.451575,4.711903,0.883000,0.274000,522.750000,4.711903,05:29
58,4.435547,4.641592,0.882000,0.290000,527.500000,4.641591,05:29
59,4.379837,4.646213,0.872000,0.284000,534.250000,4.646213,05:30
60,4.212313,4.713650,0.878000,0.285000,593.750000,4.713650,05:29
61,4.374096,4.665135,0.866000,0.295000,492.000000,4.665135,05:29
62,4.362480,4.609639,0.877000,0.295000,542.750000,4.609639,05:29
63,4.360703,4.692944,0.869000,0.294000,535.500000,4.692944,05:30
64,4.224739,4.576638,0.890000,0.297000,578.750000,4.576639,05:29
65,4.404634,4.473564,0.867000,0.323000,612.500000,4.473564,05:30
66,4.245834,4.643673,0.867000,0.310000,581.000000,4.643673,05:28
67,4.338384,4.574336,0.875000,0.304000,586.750000,4.574336,05:29
68,4.188966,4.657451,0.878000,0.307000,594.250000,4.657451,05:32
69,4.271481,4.439468,0.881000,0.333000,595.500000,4.439469,05:38
70,4.342881,4.469466,0.867000,0.318000,601.750000,4.469466,05:50
71,4.103080,4.514156,0.882000,0.305000,622.250000,4.514155,05:52
72,4.273810,4.523209,0.878000,0.306000,622.500000,4.523209,05:52
73,4.255543,4.436949,0.881000,0.333000,557.750000,4.436949,05:51
74,4.263456,4.469665,0.873000,0.326000,619.500000,4.469665,05:50
75,4.200412,4.463947,0.882000,0.338000,587.000000,4.463947,05:50
76,4.409000,4.458401,0.877000,0.329000,596.750000,4.458401,05:50
77,4.144004,4.375635,0.880000,0.326000,618.250000,4.375635,05:48
78,4.148201,4.561867,0.888000,0.323000,584.500000,4.561867,05:50
79,4.246588,4.502292,0.865000,0.325000,576.500000,4.502293,05:52
80,4.103588,4.386664,0.882000,0.336000,593.500000,4.386665,05:51
81,4.091949,4.348562,0.875000,0.351000,592.000000,4.348562,05:55
82,4.112347,4.415785,0.884000,0.350000,620.000000,4.415784,05:46
83,3.975518,4.277047,0.881000,0.363000,645.000000,4.277046,05:45
84,4.145278,4.425076,0.887000,0.338000,636.500000,4.425077,05:46
85,4.017965,4.417860,0.883000,0.339000,590.000000,4.417860,05:54
86,4.112267,4.396327,0.877000,0.351000,608.250000,4.396327,06:00
87,4.104867,4.299736,0.878000,0.348000,602.750000,4.299736,06:00
88,4.025402,4.273748,0.876000,0.359000,610.250000,4.273748,05:52
89,4.007672,4.434813,0.873000,0.352000,614.250000,4.434812,05:46
90,3.900223,4.222612,0.888000,0.379000,632.750000,4.222612,05:43
91,4.069842,4.386241,0.882000,0.354000,625.500000,4.386241,05:45
92,3.961805,4.340183,0.890000,0.371000,616.500000,4.340183,05:55
93,4.084910,4.396242,0.882000,0.335000,637.000000,4.396242,05:59
94,3.906212,4.184462,0.886000,0.365000,608.000000,4.184462,05:57
95,3.868467,4.265749,0.866000,0.361000,609.500000,4.265749,05:51
96,4.008121,4.338164,0.873000,0.376000,593.000000,4.338163,05:43
97,3.954392,4.286531,0.879000,0.348000,605.250000,4.286530,05:44
98,4.086901,4.285525,0.878000,0.354000,608.500000,4.285525,05:50
99,4.003582,4.256792,0.887000,0.364000,593.500000,4.256792,05:55
