epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,1.417909,1.477586,0.797000,783.750000,0.477707,0.999879,06:47
1,1.344401,1.385168,0.758000,230.500000,0.538422,0.846747,06:49
2,1.306162,1.368974,0.780000,304.000000,0.490211,0.878763,06:51
3,1.243684,1.356289,0.776000,261.750000,0.496203,0.860085,06:50
4,0.977078,1.048231,0.807000,297.750000,0.409115,0.639116,06:50
5,0.726146,0.786503,0.866000,308.750000,0.279233,0.507270,06:50
6,0.602298,0.670875,0.888000,233.500000,0.233285,0.437591,06:50
7,0.608044,0.621398,0.913000,161.000000,0.166914,0.454484,06:52
8,0.512619,0.567201,0.914000,133.000000,0.176855,0.390345,06:51
9,0.501104,0.498043,0.925000,134.000000,0.148514,0.349529,06:53
10,0.430431,0.484416,0.919000,117.750000,0.151930,0.332486,06:51
11,0.388465,0.428568,0.942000,135.500000,0.111090,0.317478,06:52
12,0.395526,0.469673,0.929000,101.000000,0.144749,0.324924,06:52
13,0.375784,0.422091,0.931000,120.750000,0.131528,0.290562,06:52
14,0.397368,0.408470,0.925000,102.000000,0.132732,0.275738,06:53
15,0.330635,0.390413,0.941000,87.500000,0.119016,0.271398,06:55
16,0.396799,0.402206,0.945000,86.750000,0.119606,0.282600,06:53
17,0.401938,0.410291,0.931000,86.250000,0.141786,0.268505,06:52
18,0.318058,0.385791,0.946000,86.000000,0.121030,0.264761,06:51
19,0.336177,0.415289,0.931000,86.000000,0.128629,0.286661,06:52
20,0.364490,0.404671,0.944000,82.000000,0.103266,0.301406,06:53
21,0.352807,0.412242,0.933000,75.000000,0.127082,0.285160,06:54
22,0.339824,0.402753,0.941000,89.250000,0.109590,0.293163,06:52
23,0.404500,0.377201,0.946000,97.500000,0.112215,0.264985,06:52
24,0.330306,0.355176,0.955000,71.250000,0.092588,0.262588,06:50
25,0.372291,0.368035,0.956000,72.750000,0.085311,0.282724,06:52
26,0.349439,0.384422,0.953000,69.250000,0.096696,0.287726,06:48
27,0.354859,0.375580,0.946000,75.000000,0.107394,0.268186,06:44
28,0.367792,0.369178,0.955000,80.500000,0.096360,0.272817,06:39
29,0.294273,0.375277,0.946000,63.500000,0.109461,0.265816,06:40
30,0.313977,0.370693,0.950000,64.750000,0.096977,0.273716,06:40
31,0.302356,0.363765,0.953000,66.500000,0.104609,0.259156,06:40
32,0.318033,0.380177,0.954000,68.250000,0.106452,0.273725,06:41
33,0.320702,0.354301,0.946000,67.750000,0.093837,0.260464,06:40
34,0.318792,0.381807,0.946000,64.250000,0.111564,0.270243,06:40
35,0.336792,0.342699,0.948000,70.000000,0.123489,0.219211,06:39
36,0.338731,0.372672,0.953000,70.250000,0.116009,0.256663,06:40
37,0.360414,0.343603,0.951000,61.000000,0.112945,0.230658,06:41
38,0.347822,0.338125,0.959000,72.500000,0.080788,0.257337,06:40
39,0.299885,0.350196,0.954000,61.750000,0.099857,0.250339,06:40
