epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,1.464099,1.517069,0.779000,784.000000,0.522853,0.994217,06:45
1,1.266619,1.362204,0.836000,235.750000,0.364601,0.997603,06:47
2,1.274531,1.356039,0.846000,176.000000,0.356077,0.999962,06:47
3,1.284608,1.350835,0.844000,167.500000,0.350868,0.999967,06:47
4,1.279849,1.354685,0.844000,172.750000,0.354696,0.999989,06:47
5,1.234693,1.350345,0.847000,168.000000,0.350393,0.999952,06:58
6,1.242855,1.351314,0.847000,170.750000,0.351329,0.999986,06:59
7,1.278574,1.347700,0.850000,169.000000,0.347725,0.999976,06:59
8,1.273337,1.339543,0.856000,171.000000,0.339668,0.999875,06:59
9,1.278771,1.335430,0.856000,161.750000,0.335439,0.999992,06:59
10,1.235021,1.335703,0.854000,162.000000,0.335707,0.999996,06:59
11,1.259605,1.336970,0.855000,166.750000,0.336979,0.999991,06:59
12,1.270805,1.337046,0.848000,160.500000,0.337055,0.999992,06:59
13,1.268835,1.334103,0.855000,163.250000,0.334123,0.999980,06:59
14,1.250978,1.333622,0.856000,163.000000,0.333655,0.999968,06:59
15,1.294137,1.334551,0.855000,160.000000,0.334561,0.999991,06:59
16,1.284459,1.331865,0.856000,161.750000,0.331884,0.999981,06:59
17,1.260458,1.329493,0.853000,159.750000,0.329503,0.999990,06:59
18,1.281103,1.335383,0.852000,159.000000,0.335525,0.999858,06:59
19,1.262752,1.331840,0.852000,161.750000,0.331862,0.999978,06:59
