epoch,train_loss,valid_loss,validation,div_metric,fool_loss,div_loss,time
0,1.910790,1.930957,0.583000,791.250000,0.941924,0.989033,06:46
1,1.255521,1.429288,0.695000,463.750000,0.682050,0.747238,06:46
2,1.084242,1.206357,0.748000,405.750000,0.538231,0.668126,06:46
3,0.979078,1.049982,0.794000,360.000000,0.444297,0.605685,06:47
4,0.921430,1.011844,0.800000,284.750000,0.421211,0.590632,06:46
5,0.765507,0.753320,0.861000,313.750000,0.302775,0.450545,06:46
6,0.448688,0.465859,0.935000,220.250000,0.113289,0.352570,06:47
7,0.433807,0.528496,0.947000,80.500000,0.103099,0.425397,06:47
8,0.409949,0.402456,0.957000,59.500000,0.095943,0.306513,06:47
9,0.355758,0.432485,0.949000,69.750000,0.103970,0.328516,06:47
10,0.327402,0.372631,0.953000,51.750000,0.111293,0.261338,06:47
11,0.337320,0.423119,0.951000,63.750000,0.093961,0.329158,06:46
12,0.319494,0.383845,0.952000,51.750000,0.099421,0.284424,06:47
13,0.379567,0.362321,0.950000,57.500000,0.101745,0.260576,06:47
14,0.364027,0.350360,0.963000,62.750000,0.086905,0.263455,06:46
15,0.360337,0.337549,0.957000,62.500000,0.084934,0.252615,06:47
16,0.315233,0.365846,0.951000,59.000000,0.106636,0.259210,06:47
17,0.323902,0.353071,0.959000,57.500000,0.092375,0.260697,06:47
18,0.299152,0.334051,0.961000,53.000000,0.097182,0.236868,06:47
19,0.312986,0.359508,0.957000,58.000000,0.098118,0.261390,06:47
20,0.314626,0.326226,0.953000,68.750000,0.096718,0.229508,06:48
21,0.285556,0.322347,0.953000,61.750000,0.090241,0.232107,06:48
22,0.325429,0.392880,0.950000,60.250000,0.121022,0.271858,06:48
23,0.326064,0.356362,0.958000,65.500000,0.097347,0.259015,06:48
24,0.324410,0.350813,0.955000,55.250000,0.102178,0.248634,06:47
25,0.333213,0.344541,0.956000,51.000000,0.098008,0.246533,06:47
26,0.292402,0.335189,0.950000,53.250000,0.105555,0.229634,06:48
27,0.304784,0.318665,0.960000,63.000000,0.097346,0.221319,06:47
28,0.299662,0.327376,0.954000,63.500000,0.089609,0.237766,06:47
29,0.295491,0.289585,0.959000,47.750000,0.080267,0.209318,06:48
30,0.307304,0.315037,0.960000,58.750000,0.098365,0.216672,06:43
31,0.286373,0.319254,0.950000,54.000000,0.096272,0.222982,06:41
32,0.264507,0.315019,0.958000,52.500000,0.101586,0.213433,06:47
33,0.294378,0.308867,0.965000,56.250000,0.082740,0.226127,06:47
34,0.322770,0.307169,0.966000,49.000000,0.069242,0.237927,06:47
35,0.278432,0.310739,0.953000,50.250000,0.101196,0.209542,06:48
36,0.272898,0.298706,0.961000,58.000000,0.087536,0.211171,06:48
37,0.265908,0.331312,0.957000,67.000000,0.104299,0.227013,06:47
38,0.288713,0.353210,0.960000,50.500000,0.109443,0.243767,06:48
39,0.278655,0.313353,0.960000,43.500000,0.082402,0.230952,06:43
