epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,entropy,fool_loss,time
0,8.825920,9.268985,0.903000,0.007000,304.000000,6.884268,9.268983,06:09
1,8.532613,8.964314,0.907000,0.010000,331.750000,6.959442,8.964314,06:11
2,8.036551,8.573396,0.913000,0.028000,442.250000,7.884048,8.573395,06:16
3,7.701902,8.303424,0.916000,0.043000,585.750000,8.868447,8.303425,06:15
4,7.714584,7.995757,0.917000,0.065000,597.000000,8.877111,7.995756,05:59
5,7.334046,7.750928,0.916000,0.084000,521.500000,8.469498,7.750929,06:09
6,7.205440,7.579842,0.912000,0.088000,461.000000,8.078991,7.579843,06:07
7,6.990884,7.442125,0.911000,0.104000,442.000000,7.836033,7.442125,06:10
8,6.858685,7.290413,0.914000,0.120000,533.750000,8.599295,7.290413,06:05
9,6.547676,7.124811,0.922000,0.130000,483.500000,8.265635,7.124812,06:03
10,6.487440,7.013775,0.919000,0.131000,426.250000,7.855973,7.013774,06:01
11,6.600070,6.912422,0.917000,0.151000,436.500000,7.830536,6.912422,06:10
12,6.249809,6.782692,0.918000,0.167000,484.250000,8.232966,6.782691,06:12
13,6.187726,6.707544,0.913000,0.185000,460.750000,7.916071,6.707543,06:20
14,6.132632,6.629317,0.914000,0.186000,398.250000,7.587873,6.629317,06:16
15,6.039628,6.555001,0.918000,0.196000,386.500000,7.601216,6.555001,06:13
16,5.889152,6.424053,0.916000,0.213000,509.000000,8.321939,6.424054,06:10
17,5.795461,6.361063,0.919000,0.228000,429.250000,7.804203,6.361063,06:08
18,5.676750,6.329032,0.914000,0.233000,348.750000,7.257450,6.329031,06:07
19,5.776878,6.232748,0.917000,0.238000,369.750000,7.536539,6.232747,06:08
20,5.458856,6.167007,0.912000,0.252000,362.250000,7.332648,6.167008,06:08
21,5.791977,6.118433,0.914000,0.255000,381.250000,7.489434,6.118433,06:10
22,5.491991,6.109284,0.914000,0.260000,360.500000,7.447099,6.109284,06:16
23,5.806544,6.044207,0.918000,0.265000,366.750000,7.508826,6.044207,06:19
24,5.402195,5.985638,0.911000,0.274000,353.500000,7.360676,5.985637,06:15
25,5.561344,5.954985,0.914000,0.275000,343.750000,7.347630,5.954986,06:11
26,5.229523,5.910942,0.917000,0.284000,382.000000,7.541441,5.910941,06:12
27,5.387610,5.876526,0.915000,0.285000,301.250000,6.903199,5.876527,06:15
28,5.133879,5.859291,0.915000,0.289000,363.000000,7.414207,5.859292,06:06
29,5.193555,5.814472,0.912000,0.299000,283.250000,6.782646,5.814472,06:02
30,5.211087,5.808468,0.910000,0.288000,304.500000,6.820491,5.808467,06:07
31,5.297256,5.767438,0.912000,0.299000,344.500000,7.236728,5.767438,06:07
32,5.124197,5.733532,0.905000,0.300000,337.500000,7.178186,5.733532,06:12
33,5.108848,5.692219,0.913000,0.301000,318.250000,7.013616,5.692218,06:14
34,5.299747,5.647354,0.917000,0.315000,255.250000,6.381604,5.647353,06:04
35,5.021055,5.678885,0.914000,0.311000,289.000000,6.704790,5.678885,06:16
36,4.906079,5.609375,0.913000,0.317000,277.000000,6.576417,5.609375,06:08
37,5.172454,5.565840,0.914000,0.324000,277.500000,6.636307,5.565839,06:09
38,5.083703,5.563366,0.914000,0.325000,253.000000,6.308184,5.563366,05:59
39,4.970836,5.524108,0.913000,0.327000,279.500000,6.603747,5.524108,06:12
40,5.027300,5.544229,0.911000,0.313000,296.750000,6.793975,5.544229,06:10
41,4.838638,5.530452,0.913000,0.325000,238.250000,6.340228,5.530453,06:09
42,4.988047,5.515839,0.914000,0.330000,279.000000,6.631377,5.515838,06:08
43,4.856371,5.459220,0.917000,0.328000,275.250000,6.686946,5.459219,06:09
44,4.999010,5.454479,0.916000,0.333000,346.750000,7.291760,5.454480,06:13
45,4.634740,5.417054,0.913000,0.333000,309.500000,6.875123,5.417054,06:15
46,4.506413,5.404977,0.913000,0.341000,268.750000,6.583544,5.404976,06:20
47,4.654620,5.383272,0.916000,0.344000,311.250000,7.041490,5.383272,06:21
48,4.734066,5.358333,0.916000,0.343000,269.500000,6.579218,5.358333,06:15
49,4.868029,5.338727,0.919000,0.339000,246.000000,6.423095,5.338727,06:18
50,4.807172,5.297152,0.917000,0.349000,249.000000,6.407655,5.297152,06:15
51,4.602274,5.310982,0.919000,0.345000,261.000000,6.440948,5.310982,06:11
52,4.620039,5.295475,0.919000,0.354000,222.500000,6.106724,5.295476,06:13
53,4.605511,5.288648,0.911000,0.354000,241.250000,6.367909,5.288647,06:19
54,4.818268,5.262070,0.916000,0.356000,246.000000,6.403846,5.262070,06:25
55,4.769292,5.262630,0.911000,0.361000,210.500000,6.072342,5.262630,06:20
56,4.659900,5.234494,0.917000,0.352000,197.750000,5.915175,5.234494,06:18
57,4.401784,5.226794,0.918000,0.361000,198.500000,5.882368,5.226794,06:10
58,4.652639,5.214061,0.919000,0.357000,215.250000,6.057106,5.214059,06:21
59,4.782541,5.212202,0.913000,0.374000,244.500000,6.367789,5.212202,06:12
60,4.598322,5.171731,0.917000,0.371000,255.750000,6.542146,5.171731,05:59
61,4.810222,5.169625,0.916000,0.373000,195.750000,5.899937,5.169625,05:55
62,4.846615,5.156473,0.916000,0.378000,220.250000,6.096680,5.156473,06:08
63,4.447642,5.163427,0.916000,0.376000,221.750000,6.209640,5.163426,06:01
64,4.766569,5.110393,0.915000,0.370000,201.500000,5.874266,5.110393,05:52
65,4.478487,5.115384,0.916000,0.375000,201.750000,5.821812,5.115384,05:55
66,4.673838,5.114388,0.916000,0.383000,221.250000,6.021779,5.114388,05:50
67,4.587302,5.089794,0.917000,0.381000,262.750000,6.727501,5.089794,05:49
